#ZVView-data-copy:  15-Feb-2026 22:44:16
#=======================================
#
#name:   29-CU-0(P,X)28-NI-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  30
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          37.1          0.2      0.00011         5e-5  # 2015,M.Shahid+           ## D7015006  #dY:45.5%  
          38.7          0.2      0.00014         5e-5  # 2015,M.Shahid+           ## D7015006  #dY:35.7%  
          40.1          0.2      0.00017         6e-5  # 2015,M.Shahid+           ## D7015006  #dY:35.3%  
          41.6          0.2      0.00018         5e-5  # 2015,M.Shahid+           ## D7015006  #dY:27.8%  
            43          0.2      0.00028         7e-5  # 2015,M.Shahid+           ## D7015006  #dY:25.0%  
         45.43         0.59      0.00051      0.00011  # 2016,E.Garrido+          ## O2315020  #dY:21.6%  
         56.74         1.13      0.00212      0.00015  # 2016,E.Garrido+          ## O2315020  #dY:7.1%   
         57.12         1.09      0.00211      0.00021  # 2016,E.Garrido+          ## O2315020  #dY:10.0%  
         57.55         1.07      0.00217      0.00024  # 2016,E.Garrido+          ## O2315020  #dY:11.1%  
         63.49         0.92      0.00183      0.00012  # 2016,E.Garrido+          ## O2315020  #dY:6.6%   
         63.86         0.86      0.00157      0.00011  # 2016,E.Garrido+          ## O2315020  #dY:7.0%   
         69.73         0.59      0.00124         8e-5  # 2016,E.Garrido+          ## O2315020  #dY:6.5%   
         69.99         0.55      0.00115      0.00012  # 2016,E.Garrido+          ## O2315020  #dY:10.4%  
         70.08         0.54      0.00119         9e-5  # 2016,E.Garrido+          ## O2315020  #dY:7.6%   
           440            0       0.0012            0  # 1963,V.P.Crespo          ## O0497002             
           440            0       0.0013            0  # 1963,V.P.Crespo          ## O0497002             
           490            0       0.0013      0.00012  # 1965,L.P.Remsberg        ## O0450002  #dY:9.2%   
           550            0       0.0011            0  # 1963,V.P.Crespo          ## O0497002             
           550            0       0.0011            0  # 1963,V.P.Crespo          ## O0497002             
           650            0      0.00113       0.0001  # 1965,L.P.Remsberg        ## O0450002  #dY:8.8%   
           700            0       0.0011            0  # 1963,V.P.Crespo          ## O0497002             
           700            0       0.0011            0  # 1963,V.P.Crespo          ## O0497002             
           700            0      0.00094            0  # 1963,V.P.Crespo          ## O0497002             
          1000            0     0.000821       7.4e-5  # 1965,L.P.Remsberg        ## O0450002  #dY:9.0%   
          1400            0     0.000729       6.6e-5  # 1965,L.P.Remsberg        ## O0450002  #dY:9.1%   
          2000            0     0.000655       5.9e-5  # 1965,L.P.Remsberg        ## O0450002  #dY:9.0%   
          2800            0     0.000594       5.3e-5  # 1965,L.P.Remsberg        ## O0450002  #dY:8.9%   
          3650            0      0.00058            0  # 1990,P.Kozma+            ## A0477062             
         24000         1000      0.00054         4e-5  # 1962,G.Rudstam+          ## C0288002  #dY:7.4%   
         28000            0       0.0005       4.5e-5  # 1965,L.P.Remsberg        ## O0450002  #dY:9.0%   
          36.8         2.13      4.63e-5      1.23e-5  # 1997,R.Michel+           ## O0276134  #dY:26.6%  
         38.42        0.395       5.3e-5       4.4e-6  # 2021,A.S.Voyles+         ## C2921022  #dY:8.3%   
          39.4        0.906      3.04e-5      1.26e-5  # 1997,R.Michel+           ## O0276134  #dY:41.4%  
          39.6        0.933      2.09e-5      3.46e-6  # 1997,R.Michel+           ## O0276134  #dY:16.6%  
            40            0      0.00033      1.65e-5  # 1984,L.R.Greenwood+      ## C0537005  #dY:5.0%   
          40.6        0.641      7.45e-5      1.57e-5  # 1997,R.Michel+           ## O0276134  #dY:21.1%  
          40.9         0.34      7.65e-5     2.295e-6  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
         41.05         1.54      2.62e-5       1.5e-6  # 2018,A.S.Voyles+         ## C2327009  #dY:5.7%   
          41.6          0.9      6.98e-5      1.14e-5  # 1997,R.Michel+           ## O0276134  #dY:16.3%  
          42.3         0.08    0.0001257       9.3e-6  # 2021,M.B.Fox+            ## C2702037  #dY:7.4%   
          42.4        0.609     0.000239      2.28e-5  # 1997,R.Michel+           ## O0276134  #dY:9.5%   
          42.5         0.34     0.000183      5.49e-6  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          43.6        0.883     0.000248      2.24e-5  # 1997,R.Michel+           ## O0276134  #dY:9.0%   
