#ZVView-data-copy:   3-Mar-2026 14:42:04
#=======================================
#
#name:   29-CU-0(P,X)27-CO-58-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  13
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          35.1          1.9       0.0369       0.0106  # 2016,S.A.Graves+         ## C2243006  #dY:28.7%  
         41.05         1.54       0.0611       0.0046  # 2018,A.S.Voyles+         ## C2327013  #dY:7.5%   
            48          1.6       0.0253       0.0112  # 2016,S.A.Graves+         ## C2243006  #dY:44.3%  
          52.1          1.2       0.0319       0.0033  # 2018,A.S.Voyles+         ## C2327013  #dY:10.3%  
          58.6          1.4       0.0244       0.0065  # 2016,S.A.Graves+         ## C2243006  #dY:26.6%  
         61.58         0.98       0.0258       0.0025  # 2018,A.S.Voyles+         ## C2327013  #dY:9.7%   
          69.1          1.1       0.0242       0.0067  # 2016,S.A.Graves+         ## C2243006  #dY:27.7%  
         70.17         0.85       0.0366        0.003  # 2018,A.S.Voyles+         ## C2327013  #dY:8.2%   
          78.6          0.9       0.0272       0.0068  # 2016,S.A.Graves+         ## C2243006  #dY:25.0%  
         79.95         0.64       0.0442       0.0043  # 2018,A.S.Voyles+         ## C2327013  #dY:9.7%   
          89.4          0.6       0.0309       0.0056  # 2016,S.A.Graves+         ## C2243006  #dY:18.1%  
         89.74         0.43       0.0436       0.0037  # 2018,A.S.Voyles+         ## C2327013  #dY:8.5%   
           590            0        0.033        0.005  # 1971,J.E.Cline+          ## B0085029  #dY:15.2%  
//
#-------------------------------------------------------------------------------
