#ZVView-data-copy:  15-Feb-2026 15:30:14
#=======================================
#
#name:   29-CU-0(P,X)29-CU-61,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  47
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          20.2          0.4       0.0014       0.0001  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:7.1%   
          20.3          0.4       0.0017       0.0002  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:11.8%  
          21.4          0.4       0.0017       0.0002  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:11.8%  
          21.8          0.4       0.0018       0.0002  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:11.1%  
          21.9          0.4       0.0015       0.0002  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:13.3%  
            22          2.8        0.011       0.0021  # 1987,V.N.Aleksandrov+    ## A0351004  #dY:19.1%  
         22.47         0.62      0.00329      0.00079  # 2020,J.Cervenak+         ## D0985012  #dY:24.0%  
          22.6          0.4        0.001       0.0001  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:10.0%  
         23.69         0.58       0.0064       0.0015  # 2020,J.Cervenak+         ## D0985012  #dY:23.4%  
          23.7          0.4        0.002       0.0002  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:10.0%  
          24.1          0.4        0.003       0.0003  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:10.0%  
          24.3          0.4       0.0041       0.0004  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:9.8%   
         24.72         0.81      0.00911      0.00543  # 2016,E.Garrido+          ## O2315026  #dY:59.6%  
         24.85         0.55       0.0137       0.0031  # 2020,J.Cervenak+         ## D0985012  #dY:22.6%  
          25.2          0.4       0.0055       0.0006  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:10.9%  
          26.2          0.4       0.0129       0.0013  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:10.1%  
          26.3          0.4       0.0149       0.0015  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:10.1%  
         26.62          0.5       0.0363       0.0083  # 2020,J.Cervenak+         ## D0985012  #dY:22.9%  
          27.4          0.4       0.0279       0.0028  # 2006,F.S.Al-Saleh+       ## D0422005  #dY:10.0%  
         28.34         0.46        0.069        0.016  # 2020,J.Cervenak+         ## D0985012  #dY:23.2%  
         29.48          0.6      0.10657      0.01081  # 2016,E.Garrido+          ## O2315026  #dY:10.1%  
         29.96         0.42        0.103        0.023  # 2020,J.Cervenak+         ## D0985012  #dY:22.3%  
            30          2.1         0.16         0.03  # 1987,V.N.Aleksandrov+    ## A0351004  #dY:18.8%  
         31.53         0.39        0.133         0.03  # 2020,J.Cervenak+         ## D0985012  #dY:22.6%  
         33.02         0.36        0.158        0.036  # 2020,J.Cervenak+         ## D0985012  #dY:22.8%  
         34.49         0.33        0.171        0.039  # 2020,J.Cervenak+         ## D0985012  #dY:22.8%  
          35.9          0.3        0.178        0.041  # 2020,J.Cervenak+         ## D0985012  #dY:23.0%  
            36          1.3         0.15        0.029  # 1987,V.N.Aleksandrov+    ## A0351004  #dY:19.3%  
         36.37         1.06       0.1831      0.01666  # 2016,E.Garrido+          ## O2315026  #dY:9.1%   
         40.45         0.83      0.16943      0.01531  # 2016,E.Garrido+          ## O2315026  #dY:9.0%   
         45.43         0.59      0.12022      0.01103  # 2016,E.Garrido+          ## O2315026  #dY:9.2%   
