#ZVView-data-copy:   9-Mar-2026 10:06:15
#=======================================
#
#name:   28-NI-0(P,X)25-MN-52,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  4
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           200          0.5       0.0187       0.0014  # 2006,J.M.Sisterson+      ## C1447011  #dY:7.5%   
           300          0.5       0.0202       0.0015  # 2006,J.M.Sisterson+      ## C1447011  #dY:7.4%   
           400          0.5       0.0191       0.0014  # 2006,J.M.Sisterson+      ## C1447011  #dY:7.3%   
           500          0.5       0.0171       0.0013  # 2006,J.M.Sisterson+      ## C1447011  #dY:7.6%   
          36.6         0.52      3.02e-5      1.39e-5  # 1997,R.Michel+           ## O0276106  #dY:46.0%  
          38.4         1.18     0.000218      2.45e-5  # 1997,R.Michel+           ## O0276106  #dY:11.2%  
          40.1        0.433     0.000305       2.2e-5  # 1997,R.Michel+           ## O0276106  #dY:7.2%   
          40.4         1.89     0.000466      5.23e-5  # 1997,R.Michel+           ## O0276106  #dY:11.2%  
          40.5        0.442      0.00036      2.63e-5  # 1997,R.Michel+           ## O0276106  #dY:7.3%   
          43.3        0.371      0.00116      6.34e-5  # 1997,R.Michel+           ## O0276106  #dY:5.5%   
          45.6         1.05      0.00401     0.000205  # 1997,R.Michel+           ## O0276106  #dY:5.1%   
          47.9         0.83      0.00822      0.00074  # 1997,R.Michel+           ## O0276106  #dY:9.0%   
            52        0.946       0.0169     0.000864  # 1997,R.Michel+           ## O0276106  #dY:5.1%   
          52.1         0.79       0.0163       0.0013  # 1997,R.Michel+           ## O0276106  #dY:8.0%   
          56.8         0.74       0.0214       0.0017  # 1997,R.Michel+           ## O0276106  #dY:7.9%   
          57.6        0.844       0.0253      0.00129  # 1997,R.Michel+           ## O0276106  #dY:5.1%   
          60.2         1.27       0.0234      0.00237  # 1997,R.Michel+           ## O0276106  #dY:10.1%  
          62.1         0.68       0.0199       0.0016  # 1997,R.Michel+           ## O0276106  #dY:8.0%   
            63        0.739       0.0251       0.0013  # 1997,R.Michel+           ## O0276106  #dY:5.2%   
          67.3         0.61       0.0177       0.0014  # 1997,R.Michel+           ## O0276106  #dY:7.9%   
          68.1        0.615       0.0224      0.00116  # 1997,R.Michel+           ## O0276106  #dY:5.2%   
          72.1         0.54       0.0153       0.0012  # 1997,R.Michel+           ## O0276106  #dY:7.8%   
          76.2        0.976       0.0158      0.00161  # 1997,R.Michel+           ## O0276106  #dY:10.2%  
          76.8         0.45       0.0133       0.0011  # 1997,R.Michel+           ## O0276106  #dY:8.3%   
          90.1         0.71       0.0169      0.00171  # 1997,R.Michel+           ## O0276106  #dY:10.1%  
           106          1.6       0.0198       0.0014  # 1997,R.Michel+           ## O0276106  #dY:7.1%   
           106         1.62        0.018      0.00391  # 1997,R.Michel+           ## O0276106  #dY:21.7%  
           126          1.5       0.0204       0.0015  # 1997,R.Michel+           ## O0276106  #dY:7.4%   
           126         1.47        0.024      0.00428  # 1997,R.Michel+           ## O0276106  #dY:17.8%  
           147          1.4         0.02       0.0015  # 1997,R.Michel+           ## O0276106  #dY:7.5%   
           148          1.4       0.0209      0.00147  # 1997,R.Michel+           ## O0276106  #dY:7.0%   
           211         1.76       0.0169      0.00129  # 1996,Th.Schiekel+        ## O0284096  #dY:7.6%   
           230          1.6       0.0178      0.00148  # 1996,Th.Schiekel+        ## O0284096  #dY:8.3%   
           231          1.6       0.0172      0.00139  # 1996,Th.Schiekel+        ## O0284096  #dY:8.1%   
           257         1.33       0.0181       0.0015  # 1996,Th.Schiekel+        ## O0284096  #dY:8.3%   
           275         1.11        0.019       0.0014  # 1996,Th.Schiekel+        ## O0284096  #dY:7.4%   
           275          1.1       0.0184      0.00135  # 1996,Th.Schiekel+        ## O0284096  #dY:7.3%   
           326         1.75       0.0182      0.00143  # 1996,Th.Schiekel+        ## O0284096  #dY:7.9%   
           341         1.59       0.0179      0.00141  # 1996,Th.Schiekel+        ## O0284096  #dY:7.9%   
           341         1.59        0.018      0.00143  # 1996,Th.Schiekel+        ## O0284096  #dY:7.9%   
           363         1.33       0.0176      0.00135  # 1996,Th.Schiekel+        ## O0284096  #dY:7.7%   
           378         1.09       0.0187      0.00144  # 1996,Th.Schiekel+        ## O0284096  #dY:7.7%   
           378         1.09       0.0185      0.00142  # 1996,Th.Schiekel+        ## O0284096  #dY:7.7%   
           600            0       0.0158       0.0006  # 1989,R.Michel+           ## O0078024  #dY:3.8%   
           800            0       0.0155       0.0011  # 1995,R.Michel+           ## O0277167  #dY:7.1%   
           957            2       0.0157        0.002  # 1999,S.Neumann           ## O1882057  #dY:12.7%  
          1200         1.04       0.0144      0.00104  # 1997,R.Michel+           ## O0276106  #dY:7.2%   
          1200         1.02       0.0148      0.00107  # 1997,R.Michel+           ## O0276106  #dY:7.2%   
          1200            0       0.0139       0.0011  # 1995,R.Michel+           ## O0277167  #dY:7.9%   
          1359            2       0.0137       0.0017  # 1999,S.Neumann           ## O1882057  #dY:12.4%  
          1600         1.04       0.0126     0.000881  # 1997,R.Michel+           ## O0276106  #dY:7.0%   
          1600         1.03       0.0129     0.000912  # 1997,R.Michel+           ## O0276106  #dY:7.1%   
          1600            0       0.0123        0.001  # 1995,R.Michel+           ## O0277167  #dY:8.1%   
          2600            0       0.0118        0.001  # 1995,R.Michel+           ## O0277167  #dY:8.5%   
          2600            1       0.0108       0.0013  # 1999,S.Neumann           ## O1882057  #dY:12.0%  
//
#-------------------------------------------------------------------------------
