#ZVView-data-copy:   4-Feb-2026 08:15:09
#=======================================
#
#name:   28-NI-0(P,X)28-NI-57,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  238
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          11.4          1.2      0.00021         6e-5  # 2011,M.U.Khandaker+      ## D7002007  #dY:28.6%  
          12.2         1.02     0.000574       3.4e-5  # 1997,R.Michel+           ## O0276115  #dY:5.9%   
          12.5          1.1      0.00033         7e-5  # 2011,M.U.Khandaker+      ## D7002007  #dY:21.2%  
         12.78         0.39     0.000317       4.6e-5  # 1980,R.Michel+           ## A0145020  #dY:14.5%  
          12.9          0.4       0.0002       0.0001  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:50.0%  
            13          1.6       0.0002         4e-5  # 2014,N.Amjed+            ## D4301005  #dY:20.0%  
          13.4          1.2       0.0007       0.0001  # 2014,N.Amjed+            ## D4301005  #dY:14.3%  
          13.6          0.4       0.0021       0.0008  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:38.1%  
          13.7          0.4       0.0003       0.0001  # 2014,N.Amjed+            ## D4301005  #dY:33.3%  
          14.2          0.4       0.0019       0.0002  # 2014,N.Amjed+            ## D4301005  #dY:10.5%  
          14.2          0.4       0.0065       0.0021  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:32.3%  
          14.4          1.2       0.0047       0.0005  # 2014,N.Amjed+            ## D4301005  #dY:10.6%  
         14.59          0.3      0.00249       0.0004  # 1980,R.Michel+           ## A0145020  #dY:16.1%  
          14.8          0.3       0.0055       0.0006  # 2014,N.Amjed+            ## D4301005  #dY:10.9%  
          14.8          1.5       0.0144       0.0016  # 2014,N.Amjed+            ## D4301005  #dY:11.1%  
          15.2          0.4       0.0124       0.0041  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:33.1%  
