#ZVView-data-copy:  18-Mar-2026 11:43:29
#=======================================
#
#name:   73-TA-0(P,X)73-TA-175,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  10
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            66            1        0.224        0.018  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:8.0%   
            97            1        0.234        0.022  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:9.4%   
           148            1        0.137        0.012  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:8.8%   
           248            1       0.0786       0.0064  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:8.1%   
           399            2       0.0619       0.0062  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:10.0%  
           599            2       0.0513       0.0064  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:12.5%  
           799            2       0.0324       0.0031  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:9.6%   
          1199            3       0.0259       0.0024  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:9.3%   
          1598            4       0.0204       0.0021  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:10.3%  
          2605            8       0.0156       0.0016  # 2011,Yu.E.Titarenko+     ## A0904202  #dY:10.3%  
//
#-------------------------------------------------------------------------------
