,foil,isotope,fit,cov
0,Cu07,62ZNg,437673.2793236637,48960816.32101441
0,Cu07,61CUg,2178270.7407079954,830357528.6901816
0,Cu07,58COg,279.96067041998134,22.228188556289908
0,Cu07,62CUg,1420141839057.5266,3.553727136618325e+24
0,Cu07,60CUg,3052284.5043196487,2389140580773.9814
0,Cu07,64CUg,710654.2543835461,585065376.8267348
0,Cu07,65ZNg,143.89744892588968,0.9492761093942718
0,Cu07,62COm1,1000000.0,inf
0,Cu07,63ZNg,10318793.33799236,63599297134.68443
0,Cu07,61ZNg,291162188.9487341,15165498208477.875
