,foil,isotope,fit,cov
0,Ni09,57COg,7796.875325505782,42199.798852851854
0,Ni09,57NIg,757935.0199591831,10118786440.956738
0,Ni09,56NIg,995.7373247046748,21498.372678534237
0,Ni09,55COg,24489.698604244848,3726692.8067150996
0,Ni09,51MNg,1000000.0,inf
0,Ni09,58COg,536.4126246211091,6797.124077578937
0,Ni09,60CUg,1000000.0,0.0
0,Ni09,56COg,1460.4175247319295,340.34929455444853
0,Ni09,62CUg,1000000.0,inf
0,Ni09,60COm1,6469765.469797562,inf
0,Ni09,60COm1,6469765.469797562,inf
0,Ni09,61CUg,249059.52574806358,43830101.51182063
0,Ni09,60COg,24.3675816327644,inf
