,foil,isotope,fit,cov
0,Sn02,120SBg,6536567.513226021,93214690127678.39
0,Sn02,117SBg,5267168.699987102,29760025865.807083
0,Sn02,111INg,16413.836359815756,105104.68110574968
0,Sn02,109INg,70112.9907918464,12429135.038546802
0,Sn02,112AGg,1000000.0,inf
0,Sn02,118SBm1,413100.6189834566,184703338.85775396
0,Sn02,116INm1,178941.67954886658,71781972841.10275
0,Sn02,105CDg,1108065.726267493,892551821913.7448
0,Sn02,117SNm1,14936.456490552922,153864.85757952614
0,Sn02,113SNg,2560.4242524214505,26307.62339825495
0,Sn02,122SBm1,8556826.561314994,128420071892.95424
0,Sn02,117CDm1,6827.372356619727,112379604.83044755
0,Sn02,103AGg,1000000.0,inf
0,Sn02,117INg,260462.74873142256,2776700923977.1025
0,Sn02,114INm1,651.024192658372,539.7715887056189
0,Sn02,117INm1,29243.834295396042,16125466987.339777
0,Sn02,109SNg,905561.2667015777,8051084409.555336
0,Sn02,106INm1,32625178401650.89,1.2803996883140025e+27
0,Sn02,108AGg,1000000.0,inf
0,Sn02,113SBg,63616402.69923109,31866037776158.395
0,Sn02,104AGg,1000000.0,inf
0,Sn02,124SBg,57.12728145222238,0.6703089089006525
0,Sn02,106AGg,1000000.0,0.0
0,Sn02,110INg,66090.78396899936,22788962.321593933
0,Sn02,123SNg,145.77590845230213,inf
0,Sn02,114INg,1000000.0,0.0
0,Sn02,115INm1,19251.09561135233,95645510.35021421
0,Sn02,111SNg,1873410.4301390154,1778628520.5497801
0,Sn02,124SBm1,4259923.636303184,25481176846.21395
0,Sn02,122SBg,9152.864161917978,42712.52610577307
0,Sn02,111SBg,52900396.24259808,3195777969998.043
0,Sn02,110INm1,3715507.1282485523,inf
0,Sn02,116SBg,4578328.564070916,46559007767199.055
