,foil,isotope,fit,cov
0,Ta04,176LUm1,408547.75009715563,6087813581.238048
0,Ta04,178TAg,20143825.404683128,1975995084828664.2
0,Ta04,180TAg,451501.4440692473,1252343833.145039
0,Ta04,177Wg,3277078.9112660787,2300139293.221375
0,Ta04,177TAg,127642.94189412879,18810345.60932011
0,Ta04,176TAg,6326.415460450646,14189792.082020372
0,Ta04,175HFg,111.80600056338923,56.694542471753984
0,Ta04,175TAg,7561.473149655426,13815518.173837835
0,Ta04,179LUg,284327.14819007943,16825395496.8588
0,Ta04,180HFm1,1883.8638851237865,3794591.7413065876
0,Ta04,179Wm1,1000000.0,inf
