,foil,isotope,fit,cov
0,Cu01,62ZN,97414.42232324867,2122769.9384568455
1,Cu02,62ZN,113287.54316997057,2789934.194809447
2,Cu03,62ZN,0.0,0.0
3,Cu04,62ZN,0.0,0.0
4,Cu05,62ZN,0.0,0.0
5,Cu06,62ZN,0.0,0.0
6,Cu07,62ZN,400027.6849116337,33246318.918284576
7,Cu08,62ZN,434123.6653799392,44654250.50289654
8,Cu09,62ZN,647834.604903106,85583769.7524485
9,Cu10,62ZN,703908.1922486587,175998696.30937707
10,Cu11,62ZN,475258.107477587,47720754.64809886
11,Cu12,62ZN,47319.56992684583,1219432.3620721968
12,Cu13,62ZN,9202.78216984568,12480.511293600008
13,Cu14,62ZN,0.0,0.0
