,foil,isotope,fit,cov
0,Cu01,62ZN,97185.0767709771,1651.8897643291116
1,Cu02,62ZN,113141.19572523782,1851.475011746556
2,Cu03,62ZN,111344.18072368504,1843.6039766140514
3,Cu04,62ZN,121621.03965108193,1939.0044465356748
4,Cu05,62ZN,142772.55661377974,2185.696855194656
5,Cu06,62ZN,218628.68144940678,3128.584484875627
6,Cu07,62ZN,398899.55044056976,5197.062080829679
7,Cu08,62ZN,419002.6172083082,10333.355298941831
8,Cu09,62ZN,635267.7698270688,11676.643637925306
9,Cu10,62ZN,686902.1418701333,11869.732331820373
10,Cu11,62ZN,474348.3028048136,6724.576717831866
11,Cu12,62ZN,47252.67153758898,1052.0043416304388
12,Cu13,62ZN,9198.141774295047,320.1936708970102
13,Cu14,62ZN,0.0,0.0
