,foil,isotope,fit,cov
0,Cu01,65ZN,65.89179461567058,1.860673137011715
1,Cu02,65ZN,83.23005330925274,4.043688184517603
2,Cu03,65ZN,95.75344457426657,1.9752360544917122
3,Cu04,65ZN,107.46272688297519,4.714229977790673
4,Cu05,65ZN,113.59893231128615,2.4361790722502774
5,Cu06,65ZN,126.2355945614481,2.484951929573753
6,Cu07,65ZN,143.89287128490906,2.8724018980141346
7,Cu08,65ZN,161.77047225509372,5.618993509217688
8,Cu09,65ZN,184.54023950006112,3.506423419046809
9,Cu10,65ZN,242.14293767796067,7.262690710948411
10,Cu11,65ZN,451.2041102706047,7.7309631444102935
11,Cu12,65ZN,1790.8490551442412,31.19160718878306
12,Cu13,65ZN,3768.805873598203,60.977089989613425
13,Cu14,65ZN,1893.8240102086477,28.52784588347645
