,foil,nuclei/cm2,unc nuclei/cm2,arealdensity g/cm2,unc arealdensity g/cm2
0,Ta01,9.096977196729737e+19,2.600019742367352e+17,0.02733379865059568,7.81231112143396e-05
1,Ta02,9.117768850722395e+19,3.985261129628271e+17,0.02739627158765575,0.00011974562860997896
2,Ta03,9.219481239210133e+19,2.304112713406476e+17,0.027701888045416515,6.92319565219653e-05
3,Ta04,9.158217524004495e+19,1.9072353664740595e+17,0.02751780821100511,5.730693433554818e-05
4,Ta05,9.05160924010309e+19,4.058995618324492e+17,0.027197480996411883,0.00012196113781049851
5,Ta06,9.11028991379822e+19,4.5313914055389344e+17,0.027373799534402787,0.00013615527180893379
6,Ta07,9.165133138157517e+19,2.1021496018350874e+17,0.027538587641437438,6.316354620592685e-05
7,Ta08,9.061521162188505e+19,3.710436715626401e+17,0.02722726346993732,0.00011148794582794942
8,Ta09,9.111373739100927e+19,2.1354363362995978e+17,0.02737705611754639,6.416371678777227e-05
9,Ta10,9.040681789545044e+19,4.338870593693933e+17,0.027164647152063525,0.00013037057542768723
10,Ta11,9.05249243380293e+19,3.9218329631114086e+17,0.02720013473932437,0.00011783979473257666
11,Ta12,9.219629961281615e+19,3.9063774247374195e+17,0.027702334912443758,0.00011737540028064483
12,Ta13,9.09800502277019e+19,1.1762709273380096e+17,0.02733688697207105,3.5343556426595084e-05
13,Ta14,9.105890007859062e+19,2.989238617365203e+17,0.027360579083210962,8.981801835781048e-05
