,cross_section,unc_cross_section
0,8.602547563640988e-27,5.620778276953773e-28
1,9.568160729295662e-27,7.15822126470461e-28
2,1.0367871588413863e-26,5.980666418376044e-28
3,1.0656012598912426e-26,6.814096903846574e-28
4,8.395075290610395e-27,5.261307334945554e-28
5,6.218370221688185e-27,2.510550176702438e-28
6,3.0343055505314067e-27,1.0582466474703174e-28
7,3.231390613751983e-27,1.3305493757687142e-28
8,1.3594112720488911e-27,5.817173368709871e-29
9,8.014937524360988e-28,3.215943662718792e-29
10,3.5281249129287404e-28,1.8950009488165482e-29
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
