,cross_section,unc_cross_section
0,5.429863645216493e-28,1.2052075778038936e-29
1,5.621551929213075e-28,1.2528759112149131e-29
2,3.4826180412487484e-29,1.989045963012919e-30
3,2.4745997981682984e-28,5.703849850725542e-30
4,3.059612680155028e-28,6.90378346561082e-30
5,2.298813393185408e-28,5.4625555927856066e-30
6,1.237995164385583e-28,3.273734250882525e-30
7,1.7077081008139778e-28,4.2795216347279694e-30
8,4.159535991491173e-28,9.778156559268527e-30
9,4.114572185844462e-28,9.61064844986087e-30
10,1.3515905482824018e-28,3.322606314216033e-30
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
