,cross_section,unc_cross_section
0,8.454375643780131e-26,1.84339197236115e-27
1,1.0608468191510978e-25,2.3315059487253782e-27
2,1.450407525696309e-25,3.141585146282623e-27
3,1.7572328047864501e-25,3.805575393741784e-27
4,1.7392056113880963e-25,3.761108953568661e-27
5,1.4396800050880379e-25,3.176417473118775e-27
6,7.223679848399672e-26,1.6446611118083184e-27
7,4.214103365662044e-26,9.813532177948124e-28
8,2.3576955126162607e-26,5.469431213177486e-28
9,2.647140744301695e-27,6.160538586464172e-29
10,1.7371747219576413e-27,4.219490134921967e-29
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
