filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,173HFg,52.965,0.0003799616242420883,42450.804229119996,0.31,0.008,3.9864122323416956e-05,0.000476201217674854,31.399500794253836,3508075489.9075055,0.009328431608512726,1042208.9987841668,1522.5575387899548,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,175HFg,52.965,1.4083742366823666e-05,39474.354179167276,0.266,0.013999999999999999,3.9864122323416956e-05,0.000476201217674854,1.356379249505457,3801702239.4827595,0.0004029647205898565,1129442.138883767,1522.5575387899548,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,173HFg,54.07,11256.046058529664,13805730290.180965,0.536,0.013000000000000001,4.02618254341828e-05,0.00047184220661411014,532665438.5244877,653323142182162.1,158248.79338220073,194094813482.51993,1522.5575387899548,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,175HFg,54.07,66319.10074849836,13791901604.845894,0.461,0.024,4.02618254341828e-05,0.00047184220661411014,3648977206.1765184,758851282629357.5,1084069.2828807244,225446013853.0474,1522.5575387899548,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,180TAg,54.611,77842.56369007681,1067277200866.7092,0.203,0.008,4.04622737413447e-05,0.0004696710034148038,9678269638.464815,1.3269599611471242e+17,2875302.922895073,39422458738773.74,1522.5575387899548,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,176TAg,54.611,4874.274815544147,63505392591.41122,0.264,0.01,4.04622737413447e-05,0.0004696710034148038,465996558.4101551,6071322506010865.0,138442.23363343882,1803720292932.5208,1522.5575387899548,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,178TAg,54.611,299149.40227983036,1090123330431.1165,0.222,0.016,4.04622737413447e-05,0.0004696710034148038,34010403910.55874,1.2393651632903032e+17,10104100.983529037,36820117744809.96,1522.5575387899548,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,177TAg,54.611,370105.1123498916,24860307.559224762,0.239,0.019,4.04622737413447e-05,0.0004696710034148038,39084432271.01902,2664250824729.84,11611536.622406125,791518367.4182531,1522.5575387899548,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,180TAg,55.79,84361.76956469988,315413408161.52936,0.35000000000000003,0.013999999999999999,4.0911005422462265e-05,0.0004648428472724082,6016783606.298198,2.249566638104039e+16,1787517.4112591199,6683204510113.01,346.2498527872005,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,177TAg,55.79,226294.325243048,313723752447.8975,0.41000000000000003,0.03,4.0911005422462265e-05,0.0004648428472724082,13777694873.249863,1.9100744710327516e+16,4093195.1495097633,5674612213406.867,346.2498527872005,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,176TAg,55.79,3857.9281982649836,13418757202.142193,0.456,0.016,4.0911005422462265e-05,0.0004648428472724082,211191314.67025253,734571725842628.2,62742.51772734775,218232835960.37677,346.2498527872005,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,178TAg,55.79,1037081.0037501904,721866.0169893771,0.38,0.03,4.0911005422462265e-05,0.0004648428472724082,68126462498.72091,775542620162.0165,20239590.76016664,230404818.82412848,346.2498527872005,09/26/2025 11:55:08,3296.0,3366.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EM09262025_Ta02_10cm_LEPS.Spe,181Wg,56.28,185250.4278663854,1309149.7621724692,0.187,0.021,4.110185151088446e-05,0.0004627930553092312,24614053253.142555,327222526325.13293,7312552.956964514,97214060.1084768,346.2498527872005,09/26/2025 11:55:08,3296.0,3366.0
