,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
0,DS09252025_Cu12_10cm_IDM.Spe,62ZNg,243.36,1499.0118814579412,100.96894844647966,0.0252,0.0023,0.0137368592045884,0.0002412946918931,4376307.767013535,514896.4141961375,1179.9158174746656,138.82351420764022,1.8100753125011937,09/25/2025 17:36:30,3670.0,3709.0
1,DS09252025_Cu12_10cm_IDM.Spe,62ZNg,246.95,1011.4813638013948,97.74083467346271,0.019,0.0018,0.0135339481020274,0.0002354588524415,3975305.8407976166,556599.8734099114,1071.7999031538466,150.06736948231637,1.8100753125011937,09/25/2025 17:36:30,3670.0,3709.0
2,DS09252025_Cu12_10cm_IDM.Spe,62ZNg,260.43,986.0469451874596,75.12856074958394,0.0135,0.0013,0.0128135679553398,0.0002170142953076,5760822.791085709,737275.8363212545,1553.2010760543835,198.7802200920071,0.9704773312918792,09/25/2025 17:36:30,3670.0,3709.0
3,DS09252025_Cu12_10cm_IDM.Spe,62ZNg,394.03,1120.359311380162,67.62112282711546,0.0224,0.0017,0.0082975331794037,0.000128762948604,6091876.3689382095,625301.8251239369,1642.457904809439,168.59040849930895,1.3756493556155898,09/25/2025 17:36:30,3670.0,3709.0
4,DS09252025_Cu12_10cm_IDM.Spe,62ZNg,548.35,4678.033436795327,68.15940240678746,0.153,0.0139999999999999,0.0059513273812562,9.55865197468839e-05,5192168.984025674,494126.1683613449,1399.8837918645656,133.223555772808,0.9575358749926752,09/25/2025 17:36:30,3670.0,3709.0
5,DS09252025_Cu12_10cm_IDM.Spe,62ZNg,596.56,7205.915838137299,87.93734291976436,0.26,0.013,0.0054773987698039,9.199245223301572e-05,5113664.681715329,283325.14289138705,1378.7178974697572,76.38855294995606,1.090723138652007,09/25/2025 17:36:30,3670.0,3709.0
10,AE09232025_Cu12_52cm_IDM.Spe,62ZNg,548.35,896.1847979151438,52.29207186268864,0.153,0.0139999999999999,0.0003094067809832,5.822544941257175e-06,26457951.20576788,3045252.0307981474,45617.15725132393,5250.434535858875,1.3130392598145653,09/23/2025 19:59:51,415.0,580.0
11,AE09232025_Cu12_52cm_IDM.Spe,62ZNg,596.56,1282.5267068761052,51.29282124963643,0.26,0.013,0.0002859735677247,5.392411326914434e-06,24107216.75712859,1744196.2955035612,41564.166822635496,3007.234992247519,1.115487541007816,09/23/2025 19:59:51,415.0,580.0
25,AL09232025_Cu12_40cm_IDM.Spe,62ZNg,243.36,1571.479628633762,130.34575348872258,0.0252,0.0023,0.0010985007616409,2.6231619732898148e-05,61707637.16953568,7906422.886974777,30869.25321137353,3955.189038006392,1.095326313029208,09/23/2025 21:54:49,1839.0,1999.0
26,AL09232025_Cu12_40cm_IDM.Spe,62ZNg,246.95,1379.7353860203057,142.68481892758052,0.019,0.0018,0.0010841584612761,2.4888463636152195e-05,72808234.99809557,10531159.59756926,36422.32866337948,5268.213905737498,1.095326313029208,09/23/2025 21:54:49,1839.0,1999.0
27,AL09232025_Cu12_40cm_IDM.Spe,62ZNg,394.03,1132.5166461468605,93.55293207446294,0.0224,0.0017,0.0006928393386374,1.185803177770916e-05,79322264.17928794,9304549.58371952,39680.97257593193,4654.602092906213,0.9859916696180586,09/23/2025 21:54:49,1839.0,1999.0
29,AL09232025_Cu12_40cm_IDM.Spe,62ZNg,548.35,5394.57777192679,85.32185272529273,0.153,0.0139999999999999,0.0005059027549186,8.464690026303158e-06,75758269.92844848,7222241.813030151,37898.08400622736,3612.927370200176,1.1319330886456318,09/23/2025 21:54:49,1839.0,1999.0
30,AL09232025_Cu12_40cm_IDM.Spe,62ZNg,596.56,8264.497046361183,102.05872678247992,0.26,0.013,0.0004673536159045,7.665236589291595e-06,73931333.31191827,4077970.439229344,36984.1587353268,2040.0052222257848,1.1880322058521888,09/23/2025 21:54:49,1839.0,1999.0
44,EV09272025_Cu12_10cm_IDM.Spe,62ZNg,548.35,785.3515502865769,33.25183017688066,0.153,0.0139999999999999,0.0059513273812562,9.55865197468839e-05,866371.5141353523,93699.6375262457,138.28755213652872,14.956047490222778,0.8440163567591604,09/27/2025 00:47:31,6237.0,6265.0
45,EV09272025_Cu12_10cm_IDM.Spe,62ZNg,596.56,1093.278373950779,43.00699223891564,0.26,0.013,0.0054773987698039,9.199245223301572e-05,771131.3878235238,55842.90161185298,123.08561657199104,8.913471925275815,1.1764267739291483,09/27/2025 00:47:31,6237.0,6265.0
