,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
47,DH09252025_Ni01_30cm_IDM.Spe,62COg,1128.9,59.28846419626494,97.15063535327648,0.106,0.017,0.0004399722989246,1.2714465004673368e-05,1383679.8745811912,2285570.9015279016,470.3194679065912,776.8765810767851,1.0084512461440174,09/25/2025 08:41:47,2703.0,2942.0
52,DH09252025_Ni01_30cm_IDM.Spe,62COg,1172.9,0.0445947856600291,311.79349153442064,0.8320000000000001,0.0416,0.0004226686217797,1.2427915709682133e-05,138.02487724289938,965029.1537300908,0.0469153219724335,328.0180672094122,1.3127765479475206,09/25/2025 08:41:47,2703.0,2942.0
91,DH09252025_Ni01_30cm_IDM.Spe,62COg,1886.3,96.35436116257404,24.663717143094527,0.0042,0.0025,0.0002548543982721,0.0001465086427669,97977550.0447334,85453307.37769398,33303.0421634036,29045.99163075934,1.9433564221638715,09/25/2025 08:41:47,2703.0,2942.0
97,DH09252025_Ni01_30cm_IDM.Spe,62COg,1985.1,32.41967610266434,8.654274172228025,0.017,0.006,0.0002415328913011,0.0002027949265396,8593698.101251077,8294712.840640447,2921.039463375621,2819.4129301972966,1.2968904429791135,09/25/2025 08:41:47,2703.0,2942.0
102,DH09252025_Ni01_30cm_IDM.Spe,62COg,2083.0,3.940200493243798,5.035619594194534,0.0033,0.0017,0.0002296746466813,0.0002696960176089,5658325.7592548095,10633070.954712102,1923.2922363204657,3614.232139603026,1.8487609685403508,09/25/2025 08:41:47,2703.0,2942.0
103,DH09252025_Ni01_30cm_IDM.Spe,62COg,2097.0,1.708124635996911,4.299142261147041,0.0092,0.0017,0.0002280777359067,0.0002801767753981,886023.9444589071,2577597.574925204,301.16381524775903,876.1378568746444,1.8487609685403508,09/25/2025 08:41:47,2703.0,2942.0
114,DH09252025_Ni01_30cm_IDM.Spe,62COg,2301.9,3.7254516023403377,4.522712628825076,0.147,0.003,0.0002071280537684,0.0004595430766997,133173.95245472522,343811.1898513055,45.26646922322407,116.86308288623572,2.1519125974639692,09/25/2025 08:41:47,2703.0,2942.0
115,DH09252025_Ni01_30cm_IDM.Spe,62COg,2345.8,9.914911522998873,5.455538974751515,0.013,0.003,0.0002031590151599,0.0005041583581849,4086071.99627436,10509377.843182033,1388.8755935670836,3572.1882539707785,1.8650832477120136,09/25/2025 08:41:47,2703.0,2942.0
179,CF09242025_Ni01_30cm_IDM.Spe,62COg,1128.9,71.0288396500804,48.16127491026816,0.106,0.017,0.0004399722989246,1.2714465004673368e-05,1749455.8196258172,1237534.245106398,3652.3086004714346,2583.578799804589,1.247966418111243,09/24/2025 20:16:05,417.0,479.0
184,CF09242025_Ni01_30cm_IDM.Spe,62COg,1172.9,17.96919561199657,4899.059928515185,0.8320000000000001,0.0416,0.0004226686217797,1.2427915709682133e-05,58695.49382723187,16002544.696748324,122.53756540131914,33408.23527504869,1.5385152306624943,09/24/2025 20:16:05,417.0,479.0
