,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
4,FR09292025_Ni06_10cm_IDM.Spe,56NIg,158.38,559273.3025613332,1193.720215742204,0.988,0.01,0.0187947692432521,0.0007154178679777,32439257.776324753,1280307.9036315924,2268.7968790267696,89.54454494555829,2.3295289013952023,09/29/2025 18:02:19,13275.0,14298.0
5,FR09292025_Ni06_10cm_IDM.Spe,56NIg,269.5,135156.08296639187,462.94209889342034,0.365,0.008,0.0123643498260867,0.0002068722832047,32256126.317415692,900552.4395348034,2255.9886919440264,62.98450409391547,1.0126184914546703,09/29/2025 18:02:19,13275.0,14298.0
9,FR09292025_Ni06_10cm_IDM.Spe,56NIg,480.44,74728.62092087908,652.7982917467834,0.365,0.008,0.0067860580033003,0.0001048411389837,32495056.673439525,924122.6719487763,2272.6994456175357,64.6330026541318,4.02703071626241,09/29/2025 18:02:19,13275.0,14298.0
16,FR09292025_Ni06_10cm_IDM.Spe,56NIg,749.95,65548.9401398775,3854.789722110136,0.495,0.012,0.0043740401371725,8.798162766881243e-05,32607572.916906815,2179079.637865763,2280.568815002575,152.4045067747771,1.7808736883396674,09/29/2025 18:02:19,13275.0,14298.0
18,FR09292025_Ni06_10cm_IDM.Spe,56NIg,811.85,43712.1266875975,8974.28988406634,0.86,0.009,0.0040455904939195,8.75053231378683e-05,13532010.557170054,2797892.3673964273,946.4268119436324,195.6841773252502,1.5035207137573126,09/29/2025 18:02:19,13275.0,14298.0
49,FR09292025_Ni06_10cm_IDM.Spe,56NIg,1561.8,9305.844259499909,138.8674913873856,0.14,0.006,0.0020738495503065,0.0003436494381524,34521627.374092124,5941870.756997258,2414.437499936503,415.5735597284416,1.292006025430409,09/29/2025 18:02:19,13275.0,14298.0
79,DM09252025_Ni06_30cm_IDM.Spe,56NIg,158.38,22440.497329687387,208.89843118570369,0.988,0.01,0.0025336752399509,0.0001413778041683,9481570.69744848,548560.0742918444,4136.810950021151,239.33685614827417,1.315129289192798,09/25/2025 11:52:24,2167.0,2292.0
80,DM09252025_Ni06_30cm_IDM.Spe,56NIg,269.5,5506.341534685391,125.11303149890716,0.365,0.008,0.0018142903299399,3.925405756987646e-05,8794662.888698429,356849.8371996889,3837.1129531843058,155.69364624768275,0.9886066706108738,09/25/2025 11:52:24,2167.0,2292.0
82,DM09252025_Ni06_30cm_IDM.Spe,56NIg,480.44,2967.010483525313,79.06663120313166,0.365,0.008,0.0010367828817412,2.2707824210921428e-05,8292664.597173328,371533.88943090866,3618.091010983127,162.10030079882577,0.8611746588109569,09/25/2025 11:52:24,2167.0,2292.0
83,DM09252025_Ni06_30cm_IDM.Spe,56NIg,749.95,2685.5158068360647,69.62704633975369,0.495,0.012,0.0006701657338377,1.3860272187945134e-05,8562409.569455164,388624.5024668283,3735.780789465603,169.55693824905248,0.9546586835451176,09/25/2025 11:52:24,2167.0,2292.0
