,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
38,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/CK09242025_Sn01_70cm_DET2.Spe,117CDm,564.397,726.6751623492601,48.5338001626508,0.147,0.008,0.0001418731819868,2.8005381035910604e-06,37269817.009040825,3572515.081591056,33697.84539696277,3230.1221352541197,1.1635355678451749,09/24/2025 20:50:53,1034.0,1106.0
54,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/CK09242025_Sn01_70cm_DET2.Spe,117CDm,1065.98,69.25189108651276,41.21129879383168,0.231,0.0069999999999999,8.70502789144627e-05,1.7742805098004108e-06,3683698.512315498,2240431.1831773394,3330.649649471518,2025.7063139035615,1.6269752744843482,09/24/2025 20:50:53,1034.0,1106.0
61,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/CK09242025_Sn01_70cm_DET2.Spe,117CDm,1234.59,36.774002861697504,193.00490540830452,0.11,0.004,7.725714485459163e-05,1.660413729496372e-06,4628541.419246291,24305239.705618236,4184.937992085254,21975.80443545953,2.4773666693331737,09/24/2025 20:50:53,1034.0,1106.0
67,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/CK09242025_Sn01_70cm_DET2.Spe,117CDm,1432.91,10.904033089837684,4.643053607908438,0.134,0.004,6.825263078870288e-05,3.19802926192486e-06,1275256.5262212458,670098.9988856447,1153.034833834761,605.8761291913605,1.657720267439713,09/24/2025 20:50:53,1034.0,1106.0
83,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/CK09242025_Sn01_70cm_DET2.Spe,117CDm,1997.33,1.7849155141914924e-14,0.9653673634886394,0.262,0.0131,5.155478857883144e-05,4.455342327773888e-05,1.4134548848080706e-09,76446.37545634163,1.2779881417794492e-12,69.11968847770491,1.062115384615384,09/24/2025 20:50:53,1034.0,1106.0
84,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/CK09242025_Sn01_70cm_DET2.Spe,117CDm,2096.4,1.6825206330929206e-35,0.7999473467966408,0.0744,0.0021,4.948139440965886e-05,5.9389789949929224e-05,4.888550677373183e-30,232424.08248253737,4.42002773722711e-33,210.14835667498855,1.2910459637780511,09/24/2025 20:50:53,1034.0,1106.0
89,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/CK09242025_Sn01_70cm_DET2.Spe,117CDm,2322.75,5.469013558955264,2.0170821714972247,0.0786,0.0024,4.5377214989339654e-05,0.0001028096037117,1640148.6263865272,3830036.9297935897,1482.9553583964985,3462.9628659978207,0.8988048885347631,09/24/2025 20:50:53,1034.0,1106.0
95,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FG09282025_Sn01_10cm_DET2.Spe,117CDm,97.7,5602.252805210199,1354.184979023487,0.0105,0.0013,0.0170407996296338,0.0003551444198688,33038909.36730816,9010051.869301949,4421.695579136531,1205.8420595960852,31.961255581943433,09/28/2025 16:05:48,7081.0,7472.0
108,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FG09282025_Sn01_10cm_DET2.Spe,117CDm,366.91,118.82656293192495,58.93963606513992,0.0333,0.0024,0.0074832535519142,0.0001087577255091,503177.3807905558,256497.6486149795,67.34172655119858,34.327843765388046,1.103193170484596,09/28/2025 16:05:48,7081.0,7472.0
113,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FG09282025_Sn01_10cm_DET2.Spe,117CDm,460.94,64.31703118037944,45.23717275786998,0.0162,0.0013,0.0061832438214328,9.3614482653519e-05,677543.0138542451,487130.9864259302,90.6775982138979,65.19418983216411,1.397572340030704,09/28/2025 16:05:48,7081.0,7472.0
