,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
5,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CJ09242025_Sn02_15cm_LEPS.Spe,106AGm,221.701,64.6211212786443,66.14474256851659,0.066,0.003,7.320166177196533e-05,0.0001412348514128,14857281.493284358,32509326.928702135,13113.222853737298,28693.13938985184,0.9581998619889758,09/24/2025 20:06:06,1020.0,1133.0
10,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CJ09242025_Sn02_15cm_LEPS.Spe,106AGm,406.182,6223.820847651675,98.02267138692096,0.134,0.004,8.942529743463766e-05,0.0003840498602923,576928016.4589556,2477788026.278119,509203.8980220262,2186926.76635315,1.084762091884406,09/24/2025 20:06:06,1020.0,1133.0
12,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CJ09242025_Sn02_15cm_LEPS.Spe,106AGm,429.646,1327.1919855544986,116.96311514977364,0.132,0.004,9.005677707633975e-05,0.000451685253383,124014697.09782046,622119945.724492,109456.9259468848,549090.8611866655,7.312586896413082,09/24/2025 20:06:06,1020.0,1133.0
25,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EH09262025_Sn02_10cm_LEPS.Spe,106AGm,406.182,68.50225670314484,24.379235858835663,0.134,0.004,0.0001540825496885,0.0001143095791419,3337753.511717439,2777606.6534422943,951.469074035758,791.7920904909619,1.349781845982189,09/26/2025 05:51:54,3487.0,3508.0
28,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EH09262025_Sn02_10cm_LEPS.Spe,106AGm,429.646,207.6773651437123,26.34089001075248,0.132,0.004,0.0001537978237465,0.0001298269496464,10291357.882100577,8819361.37775317,2933.6824065281003,2514.0710882990793,2.1685623787520982,09/26/2025 05:51:54,3487.0,3508.0
199,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CX09252025_Sn02_10cm_LEPS.Spe,106AGm,406.182,648.0485314334301,53.841853657946714,0.134,0.004,0.0001540825496885,0.0001143095791419,33195337.596990053,24834716.399665408,17904.712835485465,13395.208414059012,1.116129668883136,09/25/2025 01:32:19,1753.0,1854.0
203,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CX09252025_Sn02_10cm_LEPS.Spe,106AGm,429.646,1071.4792575022182,85.46469639421642,0.132,0.004,0.0001537978237465,0.0001298269496464,55819695.1547021,47390450.53911934,30107.710439429393,25561.19230804711,4.175754182433936,09/25/2025 01:32:19,1753.0,1854.0
398,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/FC09282025_Sn02_10cm_LEPS.Spe,106AGm,406.182,41.28580705491185,16.4723249620642,0.134,0.004,0.0001540825496885,0.0001143095791419,2006919.514954484,1720193.745974828,305.09570005388935,261.5071064114971,1.1860332483552274,09/28/2025 14:09:32,6554.0,6578.0
401,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/FC09282025_Sn02_10cm_LEPS.Spe,106AGm,429.646,195.1927734936175,26.540079781980356,0.132,0.004,0.0001537978237465,0.0001298269496464,9649994.052830094,8284966.990199261,1467.0103455199292,1259.4963499846856,1.7894109042719262,09/28/2025 14:09:32,6554.0,6578.0
406,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BV09242025_Sn02_40cm_LEPS.Spe,106AGm,221.701,294.82565980366496,91.92783351431798,0.066,0.003,1.2860656019162557e-05,1.452453247615264e-05,380907334.4739404,447168454.4081117,508554.5186567963,597020.6333886671,1.5741810549126816,09/24/2025 16:50:51,683.0,749.0
