,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
47,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DU09252025_Sn11_10cm_DET2.Spe,117INg,158.6,16118.74768845397,928.1036455328594,0.87,0.09,0.0136149933979481,0.000364244806324,1411807.213950126,171722.8719772628,380.6436273793815,46.29896790975002,1.0643529966906362,09/25/2025 17:36:27,3575.0,3709.0
54,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DU09252025_Sn11_10cm_DET2.Spe,117INg,552.9,29.081085623235374,17.068263326989452,1.0,0.1,0.0053160876895872,7.617982607106984e-05,5675.436464792632,3540.065712421187,1.5301796885393997,0.9544528747428382,1.2602966710723855,09/25/2025 17:36:27,3575.0,3709.0
87,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AK09232025_Sn11_50cm_DET2.Spe,117INg,552.9,5.424887096267489e-09,211.10326057157116,1.0,0.1,0.000279372244698,4.69506387201223e-06,2.0590750389651527e-05,801265.4397658862,1.0757967810685229e-08,418.63398106890605,0.922986002309384,09/23/2025 21:57:45,1805.0,1914.0
110,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/FI09292025_Sn11_10cm_LEPS.Spe,117INg,158.6,1558.0283469620076,15921.512541099322,0.87,0.09,0.0001118096211762,0.0001230415315823,16032433.985071726,164791726.83034793,1732.2997282627473,17805.697118352018,1.145244772624046,09/29/2025 11:37:03,9246.0,9255.0
133,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BH09242025_Sn11_18cm_DET2.Spe,117INg,158.6,182457.85495351383,622138.9525600036,0.87,0.09,0.005053580429972,0.0001232326662226,43679601.05432463,149009675.6714711,19999.81733256622,68227.8734759483,1.4497896283657723,09/24/2025 10:02:29,2075.0,2184.0
143,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BH09242025_Sn11_18cm_DET2.Spe,117INg,552.9,140.01009540685783,26.052425140841393,1.0,0.1,0.0020255297474409,2.7900059364075407e-05,72753.72912861111,16583.398326031693,33.31214703690985,7.593131101662863,0.9066973972794669,09/24/2025 10:02:29,2075.0,2184.0
162,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HE10272025_Det2_Sn11_10cm_000.Spe,117INg,158.6,340.5222974504565,408.30728065228016,0.87,0.09,0.0136149933979481,0.000364244806324,28758.241749121567,34654.61394288106,0.7815589126296763,0.9418038358213136,1.057385224826198,10/27/2025 07:28:27,36783.0,36796.0
170,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HE10272025_Det2_Sn11_10cm_000.Spe,117INg,552.9,14.891557592210384,8.597010623792501,1.0,0.1,0.0053160876895872,7.617982607106984e-05,2802.2149930421583,1795.696570548461,0.0761554243135709,0.0488014069613126,0.8007710453649378,10/27/2025 07:28:27,36783.0,36796.0
183,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FK09292025_Sn11_10cm_DET2.Spe,117INg,158.6,34730.246852321834,1262.6108640860257,0.87,0.09,0.0136149933979481,0.000364244806324,2958607.7122236616,334306.2325839648,319.98785552927336,36.15684972787852,1.0891644861878778,09/29/2025 08:59:08,9163.0,9246.0
190,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FK09292025_Sn11_10cm_DET2.Spe,117INg,552.9,23.95148529292504,16.431244544379652,1.0,0.1,0.0053160876895872,7.617982607106984e-05,4546.283526359213,3286.502432957087,0.4917027391692855,0.3554512689765398,1.5893679005091952,09/29/2025 08:59:08,9163.0,9246.0
213,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EX09272025_Sn11_10cm_LEPS.Spe,117INg,158.6,1435.780932852078,2558.2019055349233,0.87,0.09,0.0001118096211762,0.0001230415315823,14784176.049874242,31001087.700172547,2187.331861203468,4586.638215737912,1.1046367306582543,09/27/2025 19:41:53,6748.0,6759.0
232,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GC10072025_Sn11_10cm_000.Spe,117INg,158.6,88568.03992483456,601302.7307989828,0.87,0.09,0.0136149933979481,0.000364244806324,7487110.282784357,50837502.55990368,130.09296432416522,883.3316402540951,1.221219646180883,10/06/2025 16:52:45,57476.0,57552.0
241,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GC10072025_Sn11_10cm_000.Spe,117INg,552.9,12.709032077522066,19.882183038947016,1.0,0.1,0.0053160876895872,7.617982607106984e-05,2393.8350644088264,3812.3501773160688,0.0415942984502506,0.0662418365533095,1.124591441887085,10/06/2025 16:52:45,57476.0,57552.0
