,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
33,CC09242025_Ta02_80cm_DET2.Spe,176TAg,54.611,23234.117796498955,3835528177116.405,0.264,0.01,0.0003174041601652,2.985447625644899e-05,385534636.19326615,6.364472166859795e+16,456794.5926460499,75408437995969.14,47869.140489202495,09/24/2025 18:33:09,607.0,844.0
37,CC09242025_Ta02_80cm_DET2.Spe,176TAg,63.243,22.931915994837063,878682809.7513262,0.099,0.004,0.0003164938906462,2.64328886484188e-05,1017638.600384733,38992884192440.875,1205.7329388444705,46200099754.076866,2270.8628671655697,09/24/2025 18:33:09,607.0,844.0
40,CC09242025_Ta02_80cm_DET2.Spe,176TAg,64.942,2395.686108815345,140347000575.6126,0.0337,0.0012,0.0003164051691437,2.5700477301373892e-05,312399405.93475574,1.8301362370977308e+16,370141.4762260139,21684078638598.707,2270.8628671655697,09/24/2025 18:33:09,607.0,844.0
51,CC09242025_Ta02_80cm_DET2.Spe,176TAg,88.35,10496.176694038386,26277.14042840806,0.119,0.0059499999999999,0.0003181064941503,1.5056603559228008e-05,385536403.6662104,965561259.9951564,456796.6868083062,1144029.9289042137,31.978858305051485,09/24/2025 18:33:09,607.0,844.0
66,CC09242025_Ta02_80cm_DET2.Spe,176TAg,201.84,1018.7331830393738,504.410394592701,0.057,0.0028499999999999,0.0002660253176613,7.1951760229495856e-06,93414949.2116379,46648750.61017302,110681.2194450686,55271.03152864102,20.005203401755313,09/24/2025 18:33:09,607.0,844.0
93,CC09242025_Ta02_80cm_DET2.Spe,176TAg,521.6,153.61084182625595,67.99455360217581,0.024,0.003,0.0001204954576747,1.8944489684317812e-06,73857347.67595702,34509149.7767235,87508.70577720026,40887.6182188667,2.405486426284068,09/24/2025 18:33:09,607.0,844.0
99,CC09242025_Ta02_80cm_DET2.Spe,176TAg,710.5,820.664405452954,173.73545703987438,0.054,0.0027,9.502791069117529e-05,1.7545237181946663e-06,222369086.5721705,49161535.65513872,263470.4817205812,58248.264994240184,5.8772922453172445,09/24/2025 18:33:09,607.0,844.0
114,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1023.1,440.6624002335073,66.39901278117951,0.0267,0.001335,7.160030573506853e-05,1.9886717297792732e-06,320504117.3868521,53864914.758634195,379744.21491333185,63820.98905051445,2.357369028302728,09/24/2025 18:33:09,607.0,844.0
122,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1157.41,419.9020871083334,333.12106261665065,0.034,0.0017,6.487337822508478e-05,1.98890705840898e-06,264701472.8266245,210964658.61381295,313627.33747230395,249958.1263196836,1.7128426560964538,09/24/2025 18:33:09,607.0,844.0
123,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1159.3,1336.652697957796,326.5514285966844,0.247,0.01235,6.478914229810549e-05,1.9881186557300773e-06,116137681.27968612,29352033.79665235,137603.88777213995,34777.291228261085,1.7128426560964538,09/24/2025 18:33:09,607.0,844.0
126,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1190.22,294.7032071923485,39.04053053443688,0.045,0.00225,6.344245627086707e-05,1.9730034268062385e-06,143531133.6278482,22424770.41741361,170060.58486711874,26569.63319598769,1.7128426560964538,09/24/2025 18:33:09,607.0,844.0
127,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1222.95,540.680857587304,54.69824200617743,0.02,0.001,6.207848588012717e-05,1.9549195731510542e-06,605513232.1077005,75569566.81669384,717432.7394641001,89537.40144158038,1.4960921541865508,09/24/2025 18:33:09,607.0,844.0
128,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1224.96,415.38309733163527,49.14882272859878,0.057,0.0028499999999999,6.19966917738914e-05,1.953857961405716e-06,163440320.26932704,23056478.147301503,193649.66856555335,27318.102070262445,1.4960921541865508,09/24/2025 18:33:09,607.0,844.0
129,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1252.9,487.8669316504232,65.13515537544151,0.0308,0.00154,6.088231259427632e-05,1.941773884664695e-06,361753948.7803117,55328137.531109735,428618.42272548773,65554.66532122006,4.61057911290487,09/24/2025 18:33:09,607.0,844.0
134,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1341.33,422.64149186669334,54.68465664462336,0.0334,0.00167,5.7612224457086554e-05,2.022498509567169e-06,305397006.2197152,46154030.00667378,361844.7940991886,54684.86967615377,1.5846021303817663,09/24/2025 18:33:09,607.0,844.0
137,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1357.52,278.27946433396323,167.72777195146256,0.02,0.001,5.7052277265023246e-05,2.079529196494624e-06,339103236.20091724,206465483.9029482,401781.08554611047,244627.3505959102,1.5846021303817663,09/24/2025 18:33:09,607.0,844.0
141,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1555.05,197.0363597891023,24.468837435313116,0.04,0.002,5.105920680130485e-05,5.110217143657084e-06,134142401.10667408,24373272.342973392,158936.49420222046,28878.284766556153,1.3445538815642253,09/24/2025 18:33:09,607.0,844.0
142,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1584.02,258.57443802620037,23.814880713034313,0.053,0.00265,5.029361275705692e-05,5.996371568629923e-06,134880957.99447447,22995143.086415347,159811.56160482758,27245.43019717458,1.2031850866067533,09/24/2025 18:33:09,607.0,844.0
143,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1616.18,72.06452271137314,15.871984883728816,0.0129,0.000645,4.947267676207914e-05,7.129528346894127e-06,157007410.53023776,45950612.62457041,186027.73759506844,54443.85382058105,1.230945320806352,09/24/2025 18:33:09,607.0,844.0
144,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1630.83,106.8199508055826,111.40256624151756,0.0177,0.0008849999999999,4.9108381590713066e-05,7.699922453824697e-06,170874493.79095763,181166230.7768366,202457.93103194033,214651.93220004335,1.230945320806352,09/24/2025 18:33:09,607.0,844.0
145,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1633.74,120.73041418025612,110.92298961556466,0.0293,0.001465,4.9036720232258134e-05,7.817363945769011e-06,116837272.63519374,109623501.5628244,138432.78748245703,129885.6653587967,1.230945320806352,09/24/2025 18:33:09,607.0,844.0
146,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1643.45,123.86975071556574,17.479683815570475,0.024,0.0012,4.8799256581967266e-05,8.21936201116189e-06,147060003.34289274,35676941.687756546,174241.71012191082,42271.25792388216,1.230945320806352,09/24/2025 18:33:09,607.0,844.0
147,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1672.32,76.78816090412295,15.324268982393477,0.0118999999999999,0.0005949999999999,4.8107912101584336e-05,9.508514392908024e-06,186502454.4219575,57306544.586394526,220974.47206393068,67898.74950994612,1.4102280636677895,09/24/2025 18:33:09,607.0,844.0
148,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1679.18,82.91885729860984,16.9683693506705,0.012,0.0006,4.794678859983523e-05,9.836039786912633e-06,200385500.59683305,62897184.410787314,237423.57890620027,74522.73034453474,1.4102280636677895,09/24/2025 18:33:09,607.0,844.0
149,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1696.55,255.90555835815175,20.730832835193212,0.046,0.0023,4.7544068009047305e-05,1.0702878704027757e-05,162696909.87603453,41045753.182209685,192768.85056402197,48632.40898366077,1.2028250339686677,09/24/2025 18:33:09,607.0,844.0
150,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1704.7,66.9322082551101,11.567024837804738,0.0139999999999999,0.0007,4.735766318646593e-05,1.1128472171437716e-05,140368807.0806275,44945528.706185766,166313.75246519846,53252.9960973765,1.2028250339686677,09/24/2025 18:33:09,607.0,844.0
151,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1722.04,125.73573456036796,15.369522291326462,0.0327,0.001635,4.69663646976613e-05,1.207505022321464e-05,113835515.90055872,34433199.71002503,134876.20367364775,40797.62998818131,1.0597253980638892,09/24/2025 18:33:09,607.0,844.0
152,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1765.75,20.013472073055222,6.251658436816697,0.0048,0.00024,4.601082460077367e-05,1.471567122469221e-05,126001275.36289276,63294111.69121544,149290.6106195412,74993.02333082398,1.84186766919539,09/24/2025 18:33:09,607.0,844.0
153,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1774.56,63.18419838933088,10.45153964708006,0.0156,0.00078,4.582338212581929e-05,1.5292925654366832e-05,122899607.76365028,48707393.3614789,145615.6490090643,57710.18170791339,1.84186766919539,09/24/2025 18:33:09,607.0,844.0
155,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1823.7,224.5242280107411,14.789573304249783,0.045,0.00225,4.480794621943936e-05,1.8801899845226576e-05,154827968.4093755,67018528.57725907,183445.46020068185,79405.83954651549,1.0548675775790652,09/24/2025 18:33:09,607.0,844.0
156,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1862.74,171.64113434473273,16.303442985059377,0.04,0.002,4.4035817499544155e-05,2.1953143431133244e-05,135490572.26423177,69863727.09127927,160533.85339363953,82776.92783326928,1.7875627415393522,09/24/2025 18:33:09,607.0,844.0
157,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1956.48,31.464413155235324,6.259705907225315,0.0086,0.00043,4.229612356134208e-05,3.0921973339015504e-05,120274725.47094086,93809930.46584144,142505.59889921904,111149.20671308224,1.529938731452574,09/24/2025 18:33:09,607.0,844.0
158,CC09242025_Ta02_80cm_DET2.Spe,176TAg,1977.85,35.27686544411463,6.34133356716892,0.0087,0.000435,4.1920474333834673e-05,3.3257171942182765e-05,134492573.368888,111924020.48938207,159351.39024749762,132611.398684102,1.2465099350516191,09/24/2025 18:33:09,607.0,844.0
159,CC09242025_Ta02_80cm_DET2.Spe,176TAg,2044.87,14.836668317529872,4.966753264987871,0.0135,0.000675,4.0788773535987424e-05,4.13135406479846e-05,37464136.58299184,41174137.3162589,44388.78742060645,48784.52288656268,1.9404026466038,09/24/2025 18:33:09,607.0,844.0
160,CC09242025_Ta02_80cm_DET2.Spe,176TAg,2405.2,3.6344857749739634,3.2197435023776046,0.0049,0.000245,3.5722735598768714e-05,0.0001047632742019,28870608.649130855,89745516.13592994,34206.88228570006,106333.5499240876,1.3399289369896965,09/24/2025 18:33:09,607.0,844.0
161,CC09242025_Ta02_80cm_DET2.Spe,176TAg,2513.82,9.287767406990447,3.4046276194682243,0.0067,0.000335,3.446414633089473e-05,0.0001306359799421,55927158.95041371,213787755.72299445,66264.40633935273,253303.02810781333,1.3287259293846303,09/24/2025 18:33:09,607.0,844.0
162,CC09242025_Ta02_80cm_DET2.Spe,176TAg,2832.0,103.88307173623711,8.535208783992445,0.043,0.00215,3.1300252554469825e-05,0.0002212085609116,107320389.71430866,758609683.560898,127156.85985107662,898826.6392901634,1.1615955867036647,09/24/2025 18:33:09,607.0,844.0
163,CC09242025_Ta02_80cm_DET2.Spe,176TAg,2920.41,21.16092213001442,4.281023479280892,0.0219,0.001095,3.05360513172454e-05,0.0002495020525128,43997839.6860823,359738867.3482671,52130.14180815439,426230.8854837288,1.146197665622663,09/24/2025 18:33:09,607.0,844.0
182,FS09302025_Ta02_10cm_000.Spe,176TAg,1159.3,48.553760044298855,37.43619598402497,0.247,0.01235,0.0028186300956266,7.509628390601129e-05,76279.15891598574,59979.19907301835,1.828359513805986,1.4376605722199989,1.2632545525477457,09/29/2025 22:18:45,38144.0,41720.0
196,FS09302025_Ta02_10cm_000.Spe,176TAg,2832.0,0.0690684461929231,1.900179288242141,0.043,0.00215,0.0011458764021241,0.00834054368853,1533.174264338036,44019.61582476582,0.036749143440509,1.0551202259052208,1.463288940742796,09/29/2025 22:18:45,38144.0,41720.0
287,DL09252025_Ta02_40cm_DET2.Spe,176TAg,55.79,54517.36394835921,175642195280.69647,0.456,0.016,0.0011431984471024,0.0001329642370431,111686225.89769244,359826896947332.9,55955.02299483589,180273996466.59964,7326.301480186273,09/25/2025 09:34:37,1869.0,1996.0
305,DL09252025_Ta02_40cm_DET2.Spe,176TAg,88.35,10461.43560936003,24895.790913218636,0.119,0.0059499999999999,0.0010820069737578,8.178383113902517e-05,86769181.46756105,206641949.07533696,43471.533801383295,103528.0305988662,27.892533977105856,09/25/2025 09:34:37,1869.0,1996.0
318,DL09252025_Ta02_40cm_DET2.Spe,176TAg,156.84,617.7638943802025,179.20603392535256,0.0036,0.0001799999999999,0.0009878282031054,5.218776675750955e-05,185519615.4892412,55982989.07809816,92945.6991429064,28047.589718486055,1.4006973562347942,09/25/2025 09:34:37,1869.0,1996.0
320,DL09252025_Ta02_40cm_DET2.Spe,176TAg,175.5,636.8122882010538,62.90747828204051,0.0042,0.00021,0.0009567378896583,5.114056148221807e-05,169246776.83772385,21862346.6946543,84792.97436759713,10953.079506339833,0.954285503449359,09/25/2025 09:34:37,1869.0,1996.0
323,DL09252025_Ta02_40cm_DET2.Spe,176TAg,190.36,451.1245628860085,54.67358815286571,0.0040999999999999,0.000205,0.0009265890770844,4.460446005147066e-05,126816766.8528384,18690729.44869809,63535.45433508939,9364.092910169384,0.8866403927641159,09/25/2025 09:34:37,1869.0,1996.0
324,DL09252025_Ta02_40cm_DET2.Spe,176TAg,201.84,7867.635071412675,167.7215002388903,0.057,0.0028499999999999,0.000901150787464,3.845596996634638e-05,163577332.20240784,11453510.415830312,81952.5712436913,5738.231671257671,2.6241065043482914,09/25/2025 09:34:37,1869.0,1996.0
327,DL09252025_Ta02_40cm_DET2.Spe,176TAg,213.5,5473.400194938443,161.24352272453868,0.0042,0.0009,0.0008740953143023,3.237393975573365e-05,1592210033.481411,350071466.48391795,797700.4175758573,175386.5062544679,2.6241065043482914,09/25/2025 09:34:37,1869.0,1996.0
332,DL09252025_Ta02_40cm_DET2.Spe,176TAg,239.62,735.9388565269733,76.6159796602035,0.0054,0.00027,0.0008124720398873,2.1579866290655985e-05,179139263.82967412,22232354.941854265,89749.13017518744,11138.454379686504,1.4271656894878124,09/25/2025 09:34:37,1869.0,1996.0
352,DL09252025_Ta02_40cm_DET2.Spe,176TAg,466.16,957.1489708014248,57.848122576371686,0.0111,0.000555,0.0004908259740665,8.149708814701799e-06,187620485.89089617,16219365.629605211,93998.23942429668,8125.9346841709485,1.2924991145991425,09/25/2025 09:34:37,1869.0,1996.0
355,DL09252025_Ta02_40cm_DET2.Spe,176TAg,521.6,1930.9626545285691,73.4865943114818,0.024,0.003,0.0004503778982722,7.476143268170709e-06,190781736.93008035,25501146.189531367,95582.03253010038,12776.125345456598,1.6036107239226978,09/25/2025 09:34:37,1869.0,1996.0
357,DL09252025_Ta02_40cm_DET2.Spe,176TAg,546.53,470.826826707104,37.70932537233763,0.0053,0.000265,0.0004345794525586,7.163918427032627e-06,218306857.22188932,23216963.411053658,109372.17295685835,11631.745195918664,0.94689029724139,09/25/2025 09:34:37,1869.0,1996.0
358,DL09252025_Ta02_40cm_DET2.Spe,176TAg,611.16,72.44002448975492,215.0504184628418,0.0126,0.00063,0.000398851205542,6.3799595647297834e-06,15393889.67953362,45742271.710723795,7712.36957892466,22916.9697949518,1.194487586038008,09/25/2025 09:34:37,1869.0,1996.0
360,DL09252025_Ta02_40cm_DET2.Spe,176TAg,616.79,581.9157422956839,45.49360224375732,0.01,0.0005,0.0003960411336121,6.315105242913995e-06,156917379.45906806,16143955.932438608,78615.92157267939,8088.154274768842,1.194487586038008,09/25/2025 09:34:37,1869.0,1996.0
361,DL09252025_Ta02_40cm_DET2.Spe,176TAg,644.86,606.7390340028221,45.14334860946967,0.0099,0.000495,0.0003826504109223,6.003236337716332e-06,171047130.45493498,17044851.225216918,85694.95513774297,8539.504621852164,1.2563135241110464,09/25/2025 09:34:37,1869.0,1996.0
364,DL09252025_Ta02_40cm_DET2.Spe,176TAg,710.5,3358.8230683634215,84.09606735168359,0.054,0.0027,0.0003548496413801,5.36406620010697e-06,187197580.9735484,11314386.269174293,93786.3632132006,5668.5301949771,1.710941342652947,09/25/2025 09:34:37,1869.0,1996.0
367,DL09252025_Ta02_40cm_DET2.Spe,176TAg,1023.1,1248.4263697364397,56.38006535874465,0.0267,0.001335,0.0002643903996702,4.329468023854609e-06,188867497.64700985,14144480.614445558,94622.99481313118,7086.413133489758,1.5974469377366087,09/25/2025 09:34:37,1869.0,1996.0
372,DL09252025_Ta02_40cm_DET2.Spe,176TAg,1157.41,2258.9846023638606,730.6160412603801,0.034,0.0017,0.0002381520147967,4.5956143510680885e-06,297941725.8922998,97877330.96206948,149269.40174964917,49036.73895895264,1.0454155629911706,09/25/2025 09:34:37,1869.0,1996.0
373,DL09252025_Ta02_40cm_DET2.Spe,176TAg,1159.3,9954.672443292377,727.5327929356137,0.247,0.01235,0.0002378231145912,4.600448872235374e-06,180978587.40595645,16503815.781928604,90670.63497292408,8268.444780525351,1.0454155629911706,09/25/2025 09:34:37,1869.0,1996.0
375,DL09252025_Ta02_40cm_DET2.Spe,176TAg,1190.22,1856.287790853492,51.93063697074077,0.045,0.00225,0.0002325654418234,4.68178802380713e-06,189425677.4290715,12314999.25449066,94902.64400254082,6169.839305857045,1.1591500315589172,09/25/2025 09:34:37,1869.0,1996.0
376,DL09252025_Ta02_40cm_DET2.Spe,176TAg,1222.95,553.972461683304,141.33570051299424,0.02,0.001,0.0002272415904554,4.771293286931537e-06,130173204.44063212,34400708.79222397,65217.036292901874,17234.824044200384,1.241713487748881,09/25/2025 09:34:37,1869.0,1996.0
377,DL09252025_Ta02_40cm_DET2.Spe,176TAg,1224.96,2835.577806054264,151.67525964123664,0.057,0.0028499999999999,0.0002269223855158,4.776867303116437e-06,234121128.04122323,18370648.29153368,117295.15432927015,9203.731608984808,1.241713487748881,09/25/2025 09:34:37,1869.0,1996.0
378,DL09252025_Ta02_40cm_DET2.Spe,176TAg,1252.9,1227.9333613004203,57.30290790706761,0.0308,0.00154,0.0002225742099206,4.854912866484722e-06,191293616.31712863,14777840.541930012,95838.48512882198,7403.727726417842,1.981479562607226,09/25/2025 09:34:37,1869.0,1996.0
379,DL09252025_Ta02_40cm_DET2.Spe,176TAg,1268.78,628.8634715610972,31.809030093053256,0.0133,0.000665,0.0002201746159807,4.899545839132515e-06,229344704.0005146,19384555.986123405,114902.15631288306,9711.70139585341,0.970883378261322,09/25/2025 09:34:37,1869.0,1996.0
