,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
29,CA09242025_Ta04_20cm_LEPS.Spe,179Wm,57.981,132257.5716926147,1405563.05204189,0.156,0.013,1.4661481213544233e-05,0.000134697049586,64858137137.69545,911143771002.0018,97677917.37604736,1372204474.4006052,339.7422879721608,09/24/2025 17:53:54,592.0,664.0
30,CA09242025_Ta04_20cm_LEPS.Spe,179Wm,59.318,4.1187883912694e-05,1191.0132588294246,0.268,0.022,1.4860857207815994e-05,0.0001329858201508,11.599444663937769,335416415.6452707,0.0174690431685809,505145.20428504626,339.7422879721608,09/24/2025 17:53:54,592.0,664.0
39,CA09242025_Ta04_20cm_LEPS.Spe,179Wm,66.95,27046.164443347963,76088.48425936539,0.0305,0.0025,1.6141346171522285e-05,0.0001223923388658,61618690692.36425,498373566825.99054,92799232.9704281,750562600.641552,8.688750789872719,09/24/2025 17:53:54,592.0,664.0
43,CA09242025_Ta04_20cm_LEPS.Spe,179Wm,67.244,15723.93963736822,158955.32058754071,0.059,0.005,1.6195669707736136e-05,0.0001219592627057,18456817488.774513,232664327514.412,27796411.880684502,350398083.6060422,8.688750789872719,09/24/2025 17:53:54,592.0,664.0
44,CA09242025_Ta04_20cm_LEPS.Spe,179Wm,69.067,1.0316947278184993e-07,351.6939296845728,0.0204,0.0017,1.6540967680116004e-05,0.0001192371337702,0.3429308084916115,1169015217.3540094,0.0005164620609813,1760565.08637652,59.18414497054541,09/24/2025 17:53:54,592.0,664.0
65,CA09242025_Ta04_20cm_LEPS.Spe,179Wm,221.5,42.52130318816213,33.73424526962563,0.088,0.0069999999999999,5.21990152466437e-05,0.0001035559791353,10382643.847437331,22256141.445566863,15636.511818429715,33518.285309588646,1.1443963803805728,09/24/2025 17:53:54,592.0,664.0
68,CA09242025_Ta04_20cm_LEPS.Spe,179Wm,238.7,50.30060797477082,52.339882302520714,0.0023,0.0003,5.4187410954416914e-05,0.0001189366297774,452682149.9159456,1103027851.1616702,681750.2257770265,1661186.5228338407,1.3397310021772415,09/24/2025 17:53:54,592.0,664.0
74,CA09242025_Ta04_20cm_LEPS.Spe,179Wm,281.7,4.4648928124406537e-08,63.38601650346796,0.0019,0.0003,5.234348478235327e-05,5.304911159462268e-05,0.5035483491483009,714864282.5344386,0.0007583559475125,1076602.835142227,1.057697872486612,09/24/2025 17:53:54,592.0,664.0
107,CO09242025_Ta04_10cm_LEPS.Spe,179Wm,57.981,161442.12976345385,709748.6919293575,0.156,0.013,4.1784617867762615e-05,0.000455488979352,27480323294.645634,323011953245.3801,24891597.187179018,292583290.98313415,210.5188851750002,09/24/2025 21:37:32,995.0,1104.0
108,CO09242025_Ta04_10cm_LEPS.Spe,179Wm,59.318,43.99335845758398,545.6956203617023,0.268,0.022,4.234386491744143e-05,0.0004495522814082,4301380.088849931,70233017.71479733,3896.177616711894,63616.863872099035,15.033553243883842,09/24/2025 21:37:32,995.0,1104.0
