,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
3,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AB09232025_Cu09_52cm_IDM.Spe,61CUg,282.956,16961.64108680488,212.64986342700175,0.122,0.0061,0.0005853879990364,1.2320822483203984e-05,303980127.65320563,17085531.157378353,507479.3449970044,28523.424302801926,1.542887465267106,09/23/2025 19:29:00,468.0,599.0
4,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AB09232025_Cu09_52cm_IDM.Spe,61CUg,373.05,2401.958617475054,100.33349855902313,0.021,0.004,0.0004465139697321,8.754528412897512e-06,327862800.7779263,64603763.69040549,547350.2517160707,107852.69397396575,0.9283363117128854,09/23/2025 19:29:00,468.0,599.0
6,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AB09232025_Cu09_52cm_IDM.Spe,61CUg,529.169,316.61542503677435,38.360367531796214,0.0038,0.0007,0.0003198925931345,6.030979717026562e-06,333369034.6770267,76112268.81373903,556542.6288431163,127065.55728504012,1.1022646433143322,09/23/2025 19:29:00,468.0,599.0
8,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AB09232025_Cu09_52cm_IDM.Spe,61CUg,588.605,649.3512352089502,38.786253190925535,0.0117,0.0021,0.0002895841691454,5.454837228618837e-06,245301363.48550805,47615159.85793837,409518.1360359066,79491.08490473851,1.0639479810790546,09/23/2025 19:29:00,468.0,599.0
11,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AB09232025_Cu09_52cm_IDM.Spe,61CUg,656.008,6074.495607916886,88.40068540992945,0.108,0.02,0.000261665610675,5.017948426243784e-06,275119128.34441364,51497798.951533906,459297.37620102445,85972.95317451403,1.2561418444088948,09/23/2025 19:29:00,468.0,599.0
14,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AB09232025_Cu09_52cm_IDM.Spe,61CUg,908.631,567.1021528181511,30.157835088002397,0.011,0.002,0.0001925576014819,4.533366940728015e-06,342680121.66532946,66979246.956103355,572087.0144663263,111818.44233072348,1.104516834566192,09/23/2025 19:29:00,468.0,599.0
17,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AB09232025_Cu09_52cm_IDM.Spe,61CUg,1185.234,1319.7076782542938,39.776466812873245,0.037,0.0069999999999999,0.0001481561336083,4.633582809390142e-06,308132390.2894455,60410343.14950564,514411.33604248,100851.99190234664,1.1842995243014305,09/23/2025 19:29:00,468.0,599.0
37,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AU09242025_Cu09_10cm_LEPS.Spe,61CUg,282.956,4934.068046224167,283.94231814676334,0.122,0.0061,0.0001500544399212,0.0001049758821029,292730878.93723893,206044690.88307095,175814.3417040474,123750.56509493753,3.293423107374627,09/24/2025 03:02:08,1533.0,1665.0
57,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,282.956,29074.432655023596,206.1884249707213,0.122,0.0061,0.0007647332766292,1.4193135040985445e-05,363969677.5877988,19698614.75714853,399527.63730823144,21623.067790503326,1.0421521166114305,09/23/2025 20:43:37,780.0,911.0
60,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,373.05,3553.2140437047706,102.60377109504488,0.021,0.004,0.0005842316546769,9.962634339781818e-06,338252305.49925154,65665607.44568712,371297.8106468184,72080.79851337774,0.9350249607086508,09/23/2025 20:43:37,780.0,911.0
62,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,529.169,527.6160926602795,42.029345081686515,0.0038,0.0007,0.0004177973859438,6.789473900973082e-06,388143656.3598208,79959917.66680478,426063.2890887166,87771.58909638284,1.3111752265206076,09/23/2025 20:43:37,780.0,911.0
64,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,588.605,1256.8282629056455,50.48816760617605,0.0117,0.0021,0.0003778295862013,5.936502673281016e-06,332061012.8322164,62009127.907368936,364501.66062811896,68067.09978854988,1.246272971304589,09/23/2025 20:43:37,780.0,911.0
67,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,656.008,10286.230659873743,99.9109151487413,0.108,0.02,0.0003409931496211,5.2416444375284555e-06,326220029.94052875,60786796.546851926,358090.04384251236,66725.35296032045,0.9987574265477958,09/23/2025 20:43:37,780.0,911.0
69,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,816.692,297.0923804922419,24.184815098833543,0.0031,0.0006,0.0002768162704424,4.559808700734382e-06,404354220.9814844,88335482.2507539,443857.5422409269,96965.40312925784,1.0004000491732987,09/23/2025 20:43:37,780.0,911.0
70,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,841.211,244.30427353074384,24.72122394731897,0.0021,0.0004,0.0002690805150402,4.537900036305667e-06,504955716.6701715,113921326.26043165,554287.2850386075,125050.85209707097,1.016697481025323,09/23/2025 20:43:37,780.0,911.0
72,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,908.631,849.3253377123849,35.018551805593326,0.011,0.002,0.0002498285480773,4.527677465441209e-06,360963347.5497472,68738360.97864568,396227.6043356171,75453.74421366156,1.179400260942342,09/23/2025 20:43:37,780.0,911.0
74,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,1099.56,195.88007500854215,20.934883126168316,0.0025,0.0004,0.0002062505516868,4.459146298031834e-06,443689251.94494545,91571135.83328108,487035.4027935735,100517.16337352476,1.392257528862518,09/23/2025 20:43:37,780.0,911.0
76,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,1185.234,2212.894796929087,69.3764797541387,0.037,0.0069999999999999,0.0001913415336063,4.248376074238611e-06,365067832.53039736,70902441.69148552,400733.07632315846,77829.24444729475,1.226549709683615,09/23/2025 20:43:37,780.0,911.0
80,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,1662.0,9.610139569543742,4.812835584020233,0.00052,0.0001,0.0001357603202209,2.6265004759086815e-05,158992732.0114575,104170799.95479,174525.5016591191,114347.7496759495,1.6249413243660868,09/23/2025 20:43:37,780.0,911.0
81,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/AI09232025_Cu09_45cm_IDM.Spe,61CUg,1729.473,10.947362493917243,4.018911167807292,0.00054,0.0001,0.0001303963197224,3.4989443443119654e-05,181582578.64412665,104691921.52655286,199322.25976303697,114919.78213672104,1.4776078157557042,09/23/2025 20:43:37,780.0,911.0
86,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BK09242025_Cu09_30cm_IDM.Spe,61CUg,282.956,7365.552817075457,155.11923703120232,0.122,0.0061,0.0017347666607909,3.40041085060047e-05,38105074.74521939,2242546.0705688023,18452.82069986411,1085.9787266677008,0.8542458751232036,09/24/2025 11:14:23,1886.0,2065.0
89,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BK09242025_Cu09_30cm_IDM.Spe,61CUg,373.05,1010.4566412083036,123.12074768203362,0.021,0.004,0.0013281561219448,2.697827369140378e-05,39666842.067227274,9091414.817826657,19209.124487761394,4402.622187809519,1.1031203616261214,09/24/2025 11:14:23,1886.0,2065.0
92,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BK09242025_Cu09_30cm_IDM.Spe,61CUg,588.605,239.93206891219504,46.530170714589474,0.0117,0.0021,0.0008506470644385,1.7997026226432658e-05,26395591.413597144,7201701.569957723,12782.368723291596,3487.5068135388487,1.7658559176486746,09/24/2025 11:14:23,1886.0,2065.0
95,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BK09242025_Cu09_30cm_IDM.Spe,61CUg,656.008,2614.1148604619416,51.920699961757045,0.108,0.02,0.0007648883080065,1.579101008399777e-05,34648246.11611203,6527934.415415088,16778.811678504615,3161.2273198136018,0.8704247651347322,09/24/2025 11:14:23,1886.0,2065.0
