,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
402,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GT10212025_Det2_Ni01_10cm_000.Spe,52MNg,346.02,1356.8097447654784,210.8217551631362,0.0098,0.00014,0.007861271848231,0.0001126266968159,17899386.410949554,2846478.370828248,412.2287927719204,65.5553389103947,1.551437012218381,10/20/2025 23:12:35,42723.0,43421.0
417,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GT10212025_Det2_Ni01_10cm_000.Spe,52MNg,744.233,86929.25237559226,432.9572694439175,0.9,0.012,0.0041410770083166,4.989923270051792e-05,23705450.239351824,449332.8107950458,545.9443642327865,10.348283337441464,1.976206666648887,10/20/2025 23:12:35,42723.0,43421.0
428,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GT10212025_Det2_Ni01_10cm_000.Spe,52MNg,848.18,16294.401310217716,13182.836312594509,0.0332,0.0004,0.0037017401601816,4.646890296445682e-05,134751148.0306085,109049502.15305382,3103.3635344789045,2511.4461240656324,7.648350133638349,10/20/2025 23:12:35,42723.0,43421.0
433,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GT10212025_Det2_Ni01_10cm_000.Spe,52MNg,935.544,163828.1758434288,32481177245.52005,0.945,0.013,0.0033972727199057,4.81331319011633e-05,51863814.51125255,10282710791938.22,1194.4408123086191,236814232.55885908,1.2398088143940106e+16,10/20/2025 23:12:35,42723.0,43421.0
452,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GT10212025_Det2_Ni01_10cm_000.Spe,52MNg,1246.278,2684.524055776332,269.4001365139519,0.0421,0.0007,0.0026069724961393,5.250283829076256e-05,24859182.052093983,2622059.503094293,572.5151897030005,60.3868981159875,9.965213952314496,10/20/2025 23:12:35,42723.0,43421.0
458,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GT10212025_Det2_Ni01_10cm_000.Spe,52MNg,1333.649,8817.342388565467,0.0,0.0507,0.0007,0.0024460640741583,5.714447687634467e-05,72260339.3715693,2106499.8450404955,1664.179529987087,48.51338856867634,5.470592986219481e+27,10/20/2025 23:12:35,42723.0,43421.0
464,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GT10212025_Det2_Ni01_10cm_000.Spe,52MNg,1434.092,190196.38480476185,19812356793.93072,1.0,0.0139999999999999,0.0022829244483321,9.40754368350431e-05,84673750.89926036,8820286282616.58,1950.064505636912,203134112.1258511,6992987152441803.0,10/20/2025 23:12:35,42723.0,43421.0
508,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FS09302025_Ni01_10cm_DET2.Spe,52MNg,346.02,2494.098721079403,154.6854616416798,0.0098,0.00014,0.007861271848231,0.0001126266968159,34473742.22468144,2352523.531891495,5999.607070080306,409.4193407399051,1.3256656860114386,09/30/2025 14:36:14,5396.0,5746.0
523,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FS09302025_Ni01_10cm_DET2.Spe,52MNg,744.233,141325.68075214405,712.3884101222488,0.9,0.012,0.0041410770083166,4.989923270051792e-05,40379315.303132705,761298.450274734,7027.378228877951,132.49189875996066,3.6651917204439575,09/30/2025 14:36:14,5396.0,5746.0
534,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FS09302025_Ni01_10cm_DET2.Spe,52MNg,848.18,30925.379033989928,6476.280712166268,0.0332,0.0004,0.0037017401601816,4.646890296445682e-05,267956747.45172277,56328495.94744477,46633.61424499178,9803.079698476293,1.0862392220288415,09/30/2025 14:36:14,5396.0,5746.0
539,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FS09302025_Ni01_10cm_DET2.Spe,52MNg,935.544,189608.87462183632,37780188383.89693,0.945,0.013,0.0033972727199057,4.81331319011633e-05,62891234.694809355,12531284198614.969,10945.220100036437,2180870901.2556505,1.2211312976813486e+16,09/30/2025 14:36:14,5396.0,5746.0
557,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FS09302025_Ni01_10cm_DET2.Spe,52MNg,1246.278,5010.453681051268,164.75707272222596,0.0421,0.0007,0.0026069724961393,5.250283829076256e-05,48612973.596406385,2153783.639827555,8460.315627637729,374.8318203667865,2.8876654245703848,09/30/2025 14:36:14,5396.0,5746.0
564,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FS09302025_Ni01_10cm_DET2.Spe,52MNg,1333.649,13360.28238055705,246013233664743.44,0.0507,0.0007,0.0024460640741583,5.714447687634467e-05,114718518.4572025,2.1124009869698747e+18,19964.935338879655,367629827178885.25,8.158037685594394e+24,09/30/2025 14:36:14,5396.0,5746.0
572,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FS09302025_Ni01_10cm_DET2.Spe,52MNg,1434.092,93247.17432721684,573.7887761593414,1.0,0.0139999999999999,0.0022829244483321,9.40754368350431e-05,43494848.43535196,1917088.309211498,7569.587266855545,333.6387589995646,3.7307868252622858,09/30/2025 14:36:14,5396.0,5746.0
