,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
2,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/FR09292025_Ni06_10cm_IDM.Spe,57NIg,127.164,1096700.271968214,3009.9004904250523,0.167,0.005,0.0192444648919328,0.0005519686939347,367541516.82722336,15276242.763865722,25705.799190601716,1068.4181538582825,7.999039695740166,09/29/2025 18:02:19,13275.0,14298.0
6,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/FR09292025_Ni06_10cm_IDM.Spe,57NIg,379.94,2937.623091617113,288.6277839414734,0.00067,2.1e-05,0.0086154445972326,0.0001344953066399,548130968.4576058,58060498.25331483,38336.19866118379,4060.7426390624446,1.209468312154255,09/29/2025 18:02:19,13275.0,14298.0
31,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/FR09292025_Ni06_10cm_IDM.Spe,57NIg,1046.68,1263.8429358368712,1664.17907309033,0.00134,4e-05,0.003129782449889,8.205446971338524e-05,324574890.3137957,427679507.15410095,22700.7197030211,29911.841317254228,133.2225952944093,09/29/2025 18:02:19,13275.0,14298.0
43,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/FR09292025_Ni06_10cm_IDM.Spe,57NIg,1377.63,716728.4043153732,7583.686890458289,0.8170000000000001,0.024,0.0023605272384533,0.0001224139050666,400280382.7502208,24234701.356603403,27995.550618983132,1694.9714195414326,86.54276773103028,09/29/2025 18:02:19,13275.0,14298.0
52,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/FR09292025_Ni06_10cm_IDM.Spe,57NIg,1757.55,44667.162945186385,2978.2937209673064,0.0575,0.002,0.0018374577099318,0.00080977583583,455348525.79717463,203586391.10893,31847.00837859663,14238.802007898306,191.4572369068108,09/29/2025 18:02:19,13275.0,14298.0
57,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/FR09292025_Ni06_10cm_IDM.Spe,57NIg,1919.52,9694.85100847871,4192.192324447138,0.123,0.004,0.0016799733479609,0.0014089828163352,50532920.52873246,47714149.36153192,3534.2649691378138,3337.120531650015,3.145837536785398,09/29/2025 18:02:19,13275.0,14298.0
74,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/FR09292025_Ni06_10cm_IDM.Spe,57NIg,2804.2,664.7830900157156,43.66792716852804,0.00098,4e-05,0.0011566796994608,0.0080659485888726,631657326.238461,4405115457.345552,44178.01973971612,308093.12192932947,1.45447373160796,09/29/2025 18:02:19,13275.0,14298.0
77,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/DM09252025_Ni06_30cm_IDM.Spe,57NIg,127.164,197268.414831958,928.4418104243052,0.167,0.005,0.0027050990121101,9.231197355879984e-05,461863476.0683557,21105485.809591074,201511.1152130697,9208.327142055445,4.372747327910494,09/25/2025 11:52:24,2167.0,2292.0
92,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/DM09252025_Ni06_30cm_IDM.Spe,57NIg,1377.63,136348.4819781778,1566.7177273637776,0.8170000000000001,0.024,0.0003562271950582,1.2921151657117474e-05,495515086.1862339,23856755.211626444,216193.31858038128,10408.706462315202,19.47703542256049,09/25/2025 11:52:24,2167.0,2292.0
95,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/DM09252025_Ni06_30cm_IDM.Spe,57NIg,1757.55,8288.758073904568,116.28528340046796,0.0575,0.002,0.0002746463313296,8.934171860276605e-05,555141275.697598,181884522.01031888,242208.2354701562,79356.24869560161,1.6596241606438609,09/25/2025 11:52:24,2167.0,2292.0
