,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
0,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/DN09252025_Ni07_30cm_IDM.Spe,57COg,122.06065,25506.97891166677,567.5148399695835,0.856,0.0017,0.0027367729845494,9.256175199487552e-05,11670688.050408602,478651.6293166335,5017.492712987361,205.78315963741767,6.98082222395618,09/25/2025 12:33:54,2170.0,2326.0
2,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/DN09252025_Ni07_30cm_IDM.Spe,57COg,136.47356,2787.8711216228753,138.93513475185134,0.1068,0.0008,0.0026502893188026,0.0001026667035758,10557428.06096366,700222.2876555376,4538.877068342072,301.04139624055784,1.126172997943408,09/25/2025 12:33:54,2170.0,2326.0
24,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/CL09242025_Ni07_25cm_IDM.Spe,57COg,122.06065,24093.059637235063,646.6111749515015,0.856,0.0017,0.0037741753885043,0.0001003823595543,8618437.641273519,330788.7112402548,4643.554763617198,178.22667631479246,7.269595714049088,09/24/2025 21:49:31,1606.0,1856.0
26,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/CL09242025_Ni07_25cm_IDM.Spe,57COg,136.47356,2519.5035115889177,165.75474868668553,0.1068,0.0008,0.0037059113945714,0.0001438046529983,7356667.282137812,583310.9157781759,3963.721595979425,314.28389858737927,1.034872343625508,09/24/2025 21:49:31,1606.0,1856.0
55,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/FQ09292025_Ni07_10cm_IDM.Spe,57COg,122.06065,688337.5970957689,8149.626728316363,0.856,0.0017,0.0192269126220949,0.0005138337348926,45462672.921480775,1333058.9327672585,5927.33675638602,173.8016861495774,6.644365583934255,09/29/2025 15:53:05,7056.0,7670.0
57,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/FQ09292025_Ni07_10cm_IDM.Spe,57COg,136.47356,83683.72659598375,391.16299792742575,0.1068,0.0008,0.0192373232766667,0.0006651088443544,44275340.29687397,1587294.9986636494,5772.534588901431,206.94850047765965,1.1339927645918988,09/29/2025 15:53:05,7056.0,7670.0
130,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GN10142025_Det2_Ni07_10cm.Spe,57COg,122.06065,835138.7042833901,1673.5187290923714,0.856,0.0017,0.0154987337029513,0.000264402955255,63739816.15936661,1104353.1333161371,5901.834829570982,102.2549197514942,3.6138037177146054,10/14/2025 17:17:13,10666.0,10800.0
132,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GN10142025_Det2_Ni07_10cm.Spe,57COg,136.47356,100703.0602909036,314.1116141650858,0.1068,0.0008,0.0146947387476807,0.0002820201181853,64972820.89989797,1369214.2870008273,6016.001935175738,126.77910064822474,1.0221597972093188,10/14/2025 17:17:13,10666.0,10800.0
136,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GN10142025_Det2_Ni07_10cm.Spe,57COg,692.41,574.3177887565096,72.36183798001905,0.00149,0.0001,0.004402793358554,5.461093722514519e-05,88646148.93567999,13230087.421951698,8207.976753303703,1225.0080946251571,1.5860781934444852,10/14/2025 17:17:13,10666.0,10800.0
160,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EM09262025_Ni07_15cm_IDM.Spe,57COg,122.06065,110674.81342645123,671.0651794766219,0.856,0.0017,0.0098283627804103,0.0002393133878491,15462719.855585571,391982.5299285093,5354.127373817719,135.7280228284312,2.8661392048452767,09/26/2025 15:58:59,2457.0,2888.0
162,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EM09262025_Ni07_15cm_IDM.Spe,57COg,136.47356,13196.048130977835,251.7529119295514,0.1068,0.0008,0.0096436248394659,0.0003506118029049,15059978.911362773,642070.4413488442,5214.674138283508,222.323560023838,1.2097052171164595,09/26/2025 15:58:59,2457.0,2888.0
