,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
68,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CV09252025_Sn04_10cm_LEPS.Spe,106INm,427.2,912.373949823968,118.59144778480712,0.00129,0.0001799999999999,0.0001538361694033,0.0001281853904614,5057284600.656922,4326216232.587563,3170711.348374246,2712361.274349569,4.551476330329527,09/25/2025 00:33:55,1450.0,1595.0
94,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,610.7,3.875184092515975,17.549965420045396,0.0139999999999999,0.006,0.0048934424560089,6.596012757550689e-05,56731.015198428366,259676.9559750842,2.0981180960253103,9.603792890827478,1.0282229736716366,10/30/2025 08:02:35,26960.0,27039.0
97,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,632.66,23.939559096492875,30.127951231648773,0.918,0.0458999999999999,0.0047507560006935,6.248975903282298e-05,5505.306196067444,7024.970951864191,0.2036061317381354,0.2598088299073261,1.2309349778372816,10/30/2025 08:02:35,26960.0,27039.0
107,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,861.1,44.209316694513305,91.3738491955016,0.092,0.015,0.0036536029547004,4.652067700019726e-05,131909.28405886787,274206.92476908496,4.878482342500384,10.141163680945484,1.3615507890887464,10/30/2025 08:02:35,26960.0,27039.0
116,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,1083.8,16.487186723771313,13.268319147062602,0.0312,0.0019,0.0029657961518662,5.306059266798244e-05,178698.70410350466,150820.99266150178,6.608924298365497,5.57790571624327,1.374701969543748,10/30/2025 08:02:35,26960.0,27039.0
118,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,1162.6,9.8920955347024,11.773337548300166,0.0156,0.0009,0.0027805929423647,5.359843619132826e-05,228716.25193144125,282101.85311444354,8.45875409339995,10.433146681254614,1.9792216625641232,10/30/2025 08:02:35,26960.0,27039.0
128,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,1471.9,23.423699957378773,18.544958482492333,0.0139999999999999,0.003,0.0022269907672513,0.0001204821306574,753493.9716892651,638629.6082010536,27.86693190167037,23.61883236070319,1.3574315060970774,10/30/2025 08:02:35,26960.0,27039.0
132,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,1714.9,7.118174705926546,5.906315751148195,0.148,0.01,0.0019244140061335,0.0004838601173157,25065.66069033981,23736.48672184698,0.9270187762247054,0.8778611162338467,1.9536909158904088,10/30/2025 08:02:35,26960.0,27039.0
133,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,1716.47,35.19601934678518,9.375264610276949,0.039,0.005,0.0019227295490984,0.0004874813137986,470740.4063832677,199764.784423367,17.409682546812668,7.388024128975443,1.9536909158904088,10/30/2025 08:02:35,26960.0,27039.0
134,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,1737.9,13.00541349502366,5.669846246746662,0.0147,0.0009,0.0019000341300795,0.0005388026214046,466999.2313148125,276720.5687405928,17.271320363726932,10.23412732499696,1.3173973438436095,10/30/2025 08:02:35,26960.0,27039.0
135,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,1745.7,32.70131007496102,9.55777251766735,0.0138,0.0009,0.0018919093913512,0.0005583598602471,1256193.2925073055,572029.742333662,46.458570675960864,21.15572847862946,1.3173973438436095,10/30/2025 08:02:35,26960.0,27039.0
139,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,1933.6,4.39749863742388,4.285303184867274,0.07,0.015,0.0017158008318773,0.0011827870530412,36720.74954237449,47851.90740551903,1.358066109781223,1.7697365806989545,1.8339799491897484,10/30/2025 08:02:35,26960.0,27039.0
141,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,1997.5,6.170209455238598e-15,1.994066151904358,0.0211,0.0009,0.0016634084225495,0.0014682724546081,1.7631501295554207e-10,56980.853236469186,6.520766779671662e-15,2.107358010150863,1.3555763276426498,10/30/2025 08:02:35,26960.0,27039.0
142,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/HG10302025_Det2_Sn04_10cm_000.Spe,106INm,2087.3,43.898281406550275,9.564148284695646,0.022,0.0009,0.0015952182523284,0.0019375155160968,1254513.8638377688,1560404.7622485,46.39645933051403,57.709410934150675,1.318848035438952,10/30/2025 08:02:35,26960.0,27039.0
