,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
2,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AD09232025_Sn11_40cm_LEPS.Spe,118SBm,253.678,1655.3508177610963,115.49540861676418,0.99,0.06,1.3570607402070136e-05,1.2292495442656783e-05,125422819.86046536,114241584.7573558,184174.478502886,167755.63106807022,4.990250024370642,09/23/2025 19:42:35,669.0,681.0
12,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/DR09252025_Sn11_10cm_LEPS.Spe,118SBm,253.678,193.80018599868816,18.0912892871968,0.99,0.06,0.0001462369092156,0.0001298309257216,1343822.949424533,1206269.5389200265,648.5631995292148,582.1764183976961,1.2823461191559098,09/25/2025 12:40:52,2064.0,2072.0
25,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BF09242025_Sn11_15cm_IDM.Spe,118SBm,253.678,143205.79697905004,23858.167984002175,0.99,0.06,0.0066535082523474,0.0001163446453394,22939942.96763537,4087019.560300869,11103.55419537046,1978.2282479675064,1.1513660337328435,09/24/2025 07:58:37,1958.0,2066.0
33,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BF09242025_Sn11_15cm_IDM.Spe,118SBm,984.0,544.4260300712737,50.003263611080506,0.015,0.005,0.0017769052465292,3.377736645588527e-05,21552665.19326788,7520148.058950027,10432.074149694035,3639.9554980397033,1.2175006321744355,09/24/2025 07:58:37,1958.0,2066.0
36,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BF09242025_Sn11_15cm_IDM.Spe,118SBm,1050.69,42705.43261151672,396.184758689281,0.97,0.05,0.0016629452146231,3.3894222612917986e-05,27935154.61435808,1575785.3962995373,13521.372030183,762.7228442882562,3.904546715794152,09/24/2025 07:58:37,1958.0,2066.0
37,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BF09242025_Sn11_15cm_IDM.Spe,118SBm,1091.51,1280.8807978014815,47.050798320387784,0.036,0.003,0.0016007587041945,3.384584160822229e-05,23452976.693044618,2288502.8513927343,11351.876424513368,1107.6974111291067,1.2384522339539463,09/24/2025 07:58:37,1958.0,2066.0
39,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BF09242025_Sn11_15cm_IDM.Spe,118SBm,1229.65,38516.07058616644,442.79554212535373,1.0,0.05,0.001422500934777,3.242890494351496e-05,28569789.674526036,1610545.2313946383,13828.55260141628,779.5475466576179,5.527169895646976,09/24/2025 07:58:37,1958.0,2066.0
51,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DU09252025_Sn11_10cm_DET2.Spe,118SBm,253.678,3817.66090221663,70.0229825886528,0.99,0.06,0.0101236478908759,0.0002025291102761,395189.9678551396,27011.113235429424,106.54892635619832,7.282586474906828,1.0277898574425122,09/25/2025 17:36:27,3575.0,3709.0
61,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DU09252025_Sn11_10cm_DET2.Spe,118SBm,1050.69,1179.9518939936645,45.42910365741685,0.97,0.05,0.0030522346877282,5.2218347136096554e-05,413480.87911502406,30043.66618841506,111.48042035994176,8.100206575469146,1.6527406711140047,09/25/2025 17:36:27,3575.0,3709.0
66,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DU09252025_Sn11_10cm_DET2.Spe,118SBm,1229.65,1089.9627099637612,35.87602999170678,1.0,0.05,0.0026398465577582,5.2686290558873575e-05,428364.7672520556,29983.023074051624,115.49333169373296,8.083856315462826,1.2077186791027257,09/25/2025 17:36:27,3575.0,3709.0
83,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AK09232025_Sn11_50cm_DET2.Spe,118SBm,253.678,45509.940583699645,245.42598141873137,0.99,0.06,0.0005083447542238,1.2460430634795063e-05,95890913.25412272,6306223.49672144,50099.74569180915,3294.7876158419226,1.3711860631281312,09/23/2025 21:57:45,1805.0,1914.0
95,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AK09232025_Sn11_50cm_DET2.Spe,118SBm,1050.69,13287.797684026318,991.502340928216,0.97,0.05,0.0001681821959818,3.762369795590313e-06,86370608.86752598,8102517.222146046,45125.70996213479,4233.290084715803,62.20106174569507,09/23/2025 21:57:45,1805.0,1914.0
97,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AK09232025_Sn11_50cm_DET2.Spe,118SBm,1091.51,52.12656609062612,52.19384733022431,0.036,0.003,0.0001628815404336,3.743071066222475e-06,9426478.35381821,9563299.28911343,4925.014813907111,4996.49910611987,1.601322857860161,09/23/2025 21:57:45,1805.0,1914.0
100,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AK09232025_Sn11_50cm_DET2.Spe,118SBm,1229.65,11068.00153195706,981.958309355635,1.0,0.05,0.0001473687960295,3.444189564028934e-06,79639477.55458342,8355652.678030293,41608.922442311086,4365.544763861178,70.8213425977115,09/23/2025 21:57:45,1805.0,1914.0
125,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BF09242025_Sn11_10cm_LEPS.Spe,118SBm,253.678,10759.489456933825,188.0267139257116,0.99,0.06,0.0001462369092156,0.0001298309257216,75121198.98750329,66865551.57448865,36466.601450244314,32459.00561868381,1.375233440401611,09/24/2025 08:50:50,2038.0,2060.0
139,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BH09242025_Sn11_18cm_DET2.Spe,118SBm,253.678,74500.60114014352,337.44280536271253,0.99,0.06,0.0038023790923676,6.399411318658021e-05,20830692.220772192,1315847.354884467,9537.862738448806,602.4942101119354,1.4280826476578283,09/24/2025 10:02:29,2075.0,2184.0
146,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BH09242025_Sn11_18cm_DET2.Spe,118SBm,984.0,366.25559207348783,41.3117378416185,0.015,0.005,0.0012514689076291,1.4936790671375358e-05,20535603.673530653,7309826.115970412,9402.748934766783,3346.9899798399324,1.285553261552837,09/24/2025 10:02:29,2075.0,2184.0
148,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BH09242025_Sn11_18cm_DET2.Spe,118SBm,1050.69,24810.959053047496,170.88967387430085,0.97,0.05,0.0011791232160826,1.507973538694926e-05,22832168.472084787,1231314.9948675754,10454.289593445415,563.7889170639081,1.2589933159006226,09/24/2025 10:02:29,2075.0,2184.0
149,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BH09242025_Sn11_18cm_DET2.Spe,118SBm,1091.51,659.340275232451,31.565516228557904,0.036,0.003,0.0011392800794358,1.5333499474739882e-05,16920419.79100423,1769313.9054616613,7747.444959251021,810.1254145886727,1.1194512243335857,09/24/2025 10:02:29,2075.0,2184.0
152,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BH09242025_Sn11_18cm_DET2.Spe,118SBm,1229.65,22440.381604129725,187.54539685744436,1.0,0.05,0.001023471042001,1.662356063220836e-05,23077524.017949782,1238087.9227686126,10566.631876350632,566.8900745277531,1.7074686189121295,09/24/2025 10:02:29,2075.0,2184.0
226,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AR09242025_Sn11_10cm_LEPS.Spe,118SBm,253.678,24077.365877137367,198.5826491961201,0.99,0.06,0.0001462369092156,0.0001298309257216,171379801.23311386,152517751.489931,101408.16641012656,90247.1902307284,1.6916118731530905,09/24/2025 01:33:40,1640.0,1690.0
