,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
12,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/FA09282025_Sn12_10cm_LEPS.Spe,111SNg,372.31,3.907971709073098,4.370183645711693,0.0042,0.0007,0.000154113335506,9.480070101619706e-05,6044650.099053267,8359544.861392128,1011.9956636620236,1399.555476543132,1.1554759914647217,09/28/2025 10:19:51,5966.0,5973.0
37,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AZ09242025_Sn12_10cm_LEPS.Spe,111SNg,372.31,41.89265717321663,11.562188658187596,0.0042,0.0007,0.000154113335506,9.480070101619706e-05,65578464.96015531,46658259.598276496,37260.491454633695,26510.374771748007,1.5489838162768752,09/24/2025 05:33:54,1737.0,1760.0
57,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FA09272025_Sn12_10cm_DET2.Spe,111SNg,1152.98,24.34401079643134,12.98407736561971,0.027,0.00135,0.002801933854443,5.3650941320725465e-05,325867.8969260628,186746.8873145404,48.564515190173296,27.83113074732346,1.6848518074622008,09/27/2025 21:46:37,6626.0,6710.0
62,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FA09272025_Sn12_10cm_DET2.Spe,111SNg,1542.75,2.7041337119811724,2.1589725915873683,0.0074,0.0012,0.0021292678423978,0.0001899202370058,173794.98334144615,177364.1033176998,25.900891705133553,26.432802282816663,1.1748932904171692,09/27/2025 21:46:37,6626.0,6710.0
63,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FA09272025_Sn12_10cm_DET2.Spe,111SNg,1610.47,0.4948841236612813,1.3988411639470208,0.0131,0.002,0.0020436201004225,0.0002826636916029,18719.883808748327,59353.55120408733,2.789848555700198,8.845536692114356,1.2101441296405793,09/27/2025 21:46:37,6626.0,6710.0
65,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FA09272025_Sn12_10cm_DET2.Spe,111SNg,1914.7,9.922579673868991e-10,1.1394666934640691,0.02,0.003,0.0017319637343939,0.0011058077636181,2.900860828781675e-05,33312.24748680194,4.323190504890723e-09,4.964567434694775,1.4708614864672689,09/27/2025 21:46:37,6626.0,6710.0
87,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BG09242025_Sn12_18cm_DET2.Spe,111SNg,1152.98,42.163913717547025,17.726633229074405,0.027,0.00135,0.0010847357815726,1.5857112315459837e-05,1505538.9126243107,678637.8357570578,679.3948161662051,306.24451072069394,1.649703688095647,09/24/2025 09:24:21,2119.0,2216.0
91,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BG09242025_Sn12_18cm_DET2.Spe,111SNg,1542.75,3.65418578309083e-08,1.41675549762328,0.0074,0.0012,0.0008297868518977,2.065649337538489e-05,0.0062234492753149,241287.84300025113,2.8084157379580255e-06,108.8844056860339,1.0403676458544198,09/24/2025 09:24:21,2119.0,2216.0
92,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BG09242025_Sn12_18cm_DET2.Spe,111SNg,1610.47,8.934753122309562e-10,1.1287013029484625,0.0131,0.002,0.0007971727808499,2.3039853437579197e-05,8.947415367930453e-05,113030.0887903556,4.0376423140480384e-08,51.00635775738069,1.1494021738723896,09/24/2025 09:24:21,2119.0,2216.0
94,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BG09242025_Sn12_18cm_DET2.Spe,111SNg,1914.7,1.8112843571529747e-15,0.7680402856376393,0.02,0.003,0.0006781292089819,6.712970503731187e-05,1.3966352175472266e-10,59221.62951280686,6.30250549434669e-14,26.72456205451573,1.46278125,09/24/2025 09:24:21,2119.0,2216.0
130,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BG09242025_Sn12_15cm_IDM.Spe,111SNg,1610.47,5.5658554096415696,2.7626587695866,0.0131,0.002,0.0010849970518086,9.088785014396252e-05,407333.5884170787,275173.12610895035,165.71748918514186,111.95001062203023,1.2083615327137296,09/24/2025 08:36:36,2363.0,2458.0
132,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BG09242025_Sn12_15cm_IDM.Spe,111SNg,1914.7,0.8049289807025793,1.964352611933645,0.02,0.003,0.0009130038809841,0.000371966295672,45853.56447498739,124620.54017215004,18.654826881605935,50.69997565994713,1.5294044539249556,09/24/2025 08:36:36,2363.0,2458.0
144,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BI09242025_Sn12_10cm_LEPS.Spe,111SNg,372.31,14.100950708185689,5.365309294814263,0.0042,0.0007,0.000154113335506,9.480070101619706e-05,21946437.060303517,17306575.69666846,10758.057382501724,8483.615537582578,1.6013795018605803,09/24/2025 10:44:17,2025.0,2040.0
163,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GD10072025_Det2_Sn12_10cm_000.Spe,111SNg,1152.98,58.88083482787199,14.985259320053904,0.027,0.00135,0.002801933854443,5.3650941320725465e-05,779395.9910964093,226723.99623349297,32.924805301470485,9.577728803375,1.184796738636242,10/07/2025 09:08:07,23639.0,23672.0
167,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GD10072025_Det2_Sn12_10cm_000.Spe,111SNg,1542.75,4.63190858970928,5.604902860079995,0.0074,0.0012,0.0021292678423978,0.0001899202370058,294376.96040584816,385442.6937690649,12.435660713325792,16.282641676624912,1.6961913608442936,10/07/2025 09:08:07,23639.0,23672.0
168,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GD10072025_Det2_Sn12_10cm_000.Spe,111SNg,1610.47,7.7738934855701824,3.5730841423645057,0.0131,0.002,0.0020436201004225,0.0002826636916029,290785.653592382,179801.39082554672,12.28394954344297,7.595530197091362,1.5255801964161353,10/07/2025 09:08:07,23639.0,23672.0
170,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/GD10072025_Det2_Sn12_10cm_000.Spe,111SNg,1914.7,0.6784184821004753,1.7781044683048952,0.02,0.003,0.0017319637343939,0.0011058077636181,19612.580204413294,58092.870933458675,0.8285138646676791,2.4540753182434383,1.2285076206724614,10/07/2025 09:08:07,23639.0,23672.0
207,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EG09262025_Sn12_10cm_DET2.Spe,111SNg,1152.98,27.61437519475224,9.410003669242627,0.027,0.00135,0.002801933854443,5.3650941320725465e-05,373652.4590907282,147202.10550745015,106.60555180905229,41.99774764834526,1.308061588921314,09/26/2025 06:50:09,3424.0,3505.0
213,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EG09262025_Sn12_10cm_DET2.Spe,111SNg,1542.75,7.347522284794303e-13,0.9019938677416498,0.0074,0.0012,0.0021292678423978,0.0001899202370058,4.773458633747381e-08,58599.75987376068,1.3618997528523198e-11,16.718904386237,1.0375892857142617,09/26/2025 06:50:09,3424.0,3505.0
214,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EG09262025_Sn12_10cm_DET2.Spe,111SNg,1610.47,5.5836705366422686e-11,0.7580314121024729,0.0131,0.002,0.0020436201004225,0.0002826636916029,2.135023157398882e-06,28984.77996386977,6.091364215118066e-10,8.269552058165411,1.1238636363624652,09/26/2025 06:50:09,3424.0,3505.0
216,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EG09262025_Sn12_10cm_DET2.Spe,111SNg,1914.7,1.3235357202628707e-14,0.945482575173622,0.02,0.003,0.0017319637343939,0.0011058077636181,3.9113001380657746e-10,27940.810891608708,1.1159201535137733e-13,7.971700682341999,1.4912592592592588,09/26/2025 06:50:09,3424.0,3505.0
