,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
1,HA11042025_IDM_Ta01_10cm.Spe,172LUm,52.965,23609.09025797365,4691451.169166403,0.1097,0.0024,0.019757020704561,0.002320190482964,10966072.874335185,2179110002.4970365,197.24571685616203,39195.44576043306,32216.80550051449,11/03/2025 16:39:29,55226.0,55596.0
3,HA11042025_IDM_Ta01_10cm.Spe,172LUm,54.07,72935.40843813808,2442181773650.78,0.19,0.004,0.0197362923567626,0.0022969138023676,19580293.90032199,655629932156346.6,352.18889668900624,11792753654.154016,32216.80550051449,11/03/2025 16:39:29,55226.0,55596.0
23,HA11042025_IDM_Ta01_10cm.Spe,172LUm,67.35,23159.58359859298,918640.2499949872,0.504,0.008,0.0195089311584112,0.0019708702875134,2371191.8395256987,94055211.48921676,42.65040361762894,1691.7622039214468,3049.901281329985,11/03/2025 16:39:29,55226.0,55596.0
183,CR09242025_Ta01_80cm_DET2.Spe,172LUm,52.965,25833.726928622593,69135621.04662876,0.1097,0.0024,0.0003176308395387,3.0440165881349025e-05,841745396.948253,2252659516815.494,600817.5567082462,1607894016.285149,25892.728174175092,09/24/2025 23:03:47,1234.0,1401.0
186,CR09242025_Ta01_80cm_DET2.Spe,172LUm,54.07,2763.828236349577,401919694819.2984,0.19,0.004,0.0003174739012748,3.0049231008875165e-05,52020245.2353569,7564855447397349.0,37130.796028092,5399611311489.899,25892.728174175092,09/24/2025 23:03:47,1234.0,1401.0
192,CR09242025_Ta01_80cm_DET2.Spe,172LUm,67.35,4790.283127841053,103359475247.20226,0.504,0.008,0.000316362315615,2.4637264340979876e-05,34108991.31185714,735966403053476.1,24346.175097685325,525315062850.4469,1902.3093391673913,09/24/2025 23:03:47,1234.0,1401.0
326,CD09242025_Ta01_80cm_DET2.Spe,172LUm,52.965,41930.14321892497,16127778.494626349,0.1097,0.0024,0.0003176308395387,3.0440165881349025e-05,1636736448.5741682,629545280183.0997,2015685.281495281,775302069.1910095,43713.270029457024,09/24/2025 18:48:37,597.0,812.0
328,CD09242025_Ta01_80cm_DET2.Spe,172LUm,54.07,6148.4604457851865,565830056099.1355,0.19,0.004,0.0003174739012748,3.0049231008875165e-05,138639330.28466636,1.2758689874356246e+16,170738.09148357925,15712672259059.416,43713.270029457024,09/24/2025 18:48:37,597.0,812.0
360,CD09242025_Ta01_80cm_DET2.Spe,172LUm,67.35,10363.187681963636,141515183436.3344,0.504,0.008,0.000316362315615,2.4637264340979876e-05,88401529.56751159,1207172836845554.2,108868.87877772364,1486666055228.5151,1043.3824586320643,09/24/2025 18:48:37,597.0,812.0
516,CK09242025_Ta01_30cm_LEPS.Spe,172LUm,67.35,1215.2244901529998,88013.41017988502,0.504,0.008,9.317038591329296e-06,1.8654750394371526e-05,292155522.7076356,21167636679.390022,280379.5803336234,20314430.594424207,1196.1646663318843,09/24/2025 20:26:29,923.0,1042.0
677,CY09252025_Ta01_20cm_LEPS.Spe,172LUm,67.35,4734.325638876448,230690.20882416144,0.504,0.008,1.6215348386858163e-05,0.0001218027076858,628531327.8655621,30988312689.183475,397050.7440717385,19575687.10624351,23.46113962470973,09/25/2025 02:04:35,1459.0,1583.0
1035,BW09242025_Ta01_40cm_LEPS.Spe,172LUm,52.965,93.1853254909418,143553.3568043635,0.1097,0.0024,3.559462786614648e-06,3.811823677793177e-05,282790099.05100846,435652810488.6234,459821.2992699325,708378553.640038,739.2170586750685,09/24/2025 17:03:53,519.0,615.0
1036,BW09242025_Ta01_40cm_LEPS.Spe,172LUm,54.07,1438.87729795549,141518.1837690953,0.19,0.004,3.5955800693959332e-06,3.777663136884387e-05,2495795245.5669317,246866036660.14203,4058203.651328344,401408189.6912879,739.2170586750685,09/24/2025 17:03:53,519.0,615.0
1069,BW09242025_Ta01_40cm_LEPS.Spe,172LUm,67.35,18269.95216775896,25363.142889535728,0.504,0.008,4.12957425572784e-06,3.299101864507024e-05,10401820427.999836,84345274270.95746,16913529.151219245,137146787.43245116,30.358445917389616,09/24/2025 17:03:53,519.0,615.0
