,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
3,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/HA11042025_IDM_Ta01_10cm.Spe,180TAg,93.324,7068.7121247855885,36993.29764060036,0.0451,0.002255,0.0192555662016276,0.0011556315047412,8194216.1865233,42888382.10055144,147.38859246210697,771.4292772960545,4.1998735369534375,11/03/2025 16:39:29,55226.0,55596.0
4,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/HA11042025_IDM_Ta01_10cm.Spe,180TAg,103.6,1241.9261433249098,790.9651213124141,0.0087,0.0024,0.0192117490915427,0.0008244423076114,7480137.279938956,5205929.232232528,134.54452262642917,93.63855731046348,10.053126964426756,11/03/2025 16:39:29,55226.0,55596.0
63,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/DT09252025_Ta01_10cm_LEPS.Spe,180TAg,93.324,10074.338736753907,6047.740571434044,0.0451,0.002255,6.281741205854225e-05,0.0002549212209107,3682174294.373684,15106517405.755674,907833.8990073184,3724486.5398805905,1.8005020360733135,09/25/2025 13:57:23,3917.0,4056.0
64,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/DT09252025_Ta01_10cm_LEPS.Spe,180TAg,103.6,2061.038643416238,103.24837373601916,0.0087,0.0024,7.062772781265118e-05,0.0001865287259636,3473249822.2873106,9224759740.822384,856323.9206822758,2274349.048526229,1.2300917026210696,09/25/2025 13:57:23,3917.0,4056.0
94,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/CR09242025_Ta01_80cm_DET2.Spe,180TAg,93.324,11706.500243594195,7787.269531448041,0.0451,0.002255,0.0003191788918397,1.333355379214624e-05,923292589.0562325,617180573.9246895,659023.9750579818,440528.6038006349,180.4707835062188,09/24/2025 23:03:47,1234.0,1401.0
96,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/CR09242025_Ta01_80cm_DET2.Spe,180TAg,103.6,87.19792062931694,5206.088128608719,0.0087,0.0024,0.000321534873972,1.2021314520703888e-05,35390098.2066975,2112966318.4099784,25260.598291718416,1508184.3814489497,4755.112356635879,09/24/2025 23:03:47,1234.0,1401.0
341,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CK09242025_Ta01_30cm_LEPS.Spe,180TAg,93.324,2638.283233549676,5467.2099848473335,0.0451,0.002255,1.2198560582252516e-05,1.4971608562220154e-05,5413801226.908553,13042060749.787071,5195586.590123371,12516373.080409857,31.564622825053647,09/24/2025 20:26:29,923.0,1042.0
376,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EI09262025_Ta01_10cm_LEPS.Spe,180TAg,93.324,5656.590563068814,3383.5321034097337,0.0451,0.002255,6.281741205854225e-05,0.0002549212209107,2045802113.840384,8392499632.73969,585351.1055337294,2401287.448566435,1.5292836053085486,09/26/2025 06:51:52,3411.0,3495.0
377,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/EI09262025_Ta01_10cm_LEPS.Spe,180TAg,103.6,601.6938862877678,62.516817869357794,0.0087,0.0024,7.062772781265118e-05,0.0001865287259636,1003336408.8782111,2666592869.5939193,287077.6563313909,762973.6393687895,0.9693046518191468,09/26/2025 06:51:52,3411.0,3495.0
397,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CY09252025_Ta01_20cm_LEPS.Spe,180TAg,93.324,6855.694871899137,4217.064096450583,0.0451,0.002255,2.2154249952567587e-05,7.69176289729e-05,7444636716.697599,26252449837.8046,4702865.898103348,16583985.999876564,2.2511555590267305,09/25/2025 02:04:35,1459.0,1583.0
398,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CY09252025_Ta01_20cm_LEPS.Spe,180TAg,103.6,1108.3417521644085,95.36467135317147,0.0087,0.0024,2.4936342053506216e-05,5.709200667827099e-05,5543031129.372806,12792592818.516926,3501598.944644855,8081233.618772536,0.9617533709421788,09/25/2025 02:04:35,1459.0,1583.0
436,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DM09252025_Ta01_50cm_DET2.Spe,180TAg,93.324,3540.3160949226167,7401.47555021062,0.0451,0.002255,0.000703687085073,5.503517745832648e-05,122437534.08791304,256231505.34852716,60462.97979650027,126534.07671532204,62.62285316868865,09/25/2025 10:09:56,1845.0,2025.0
547,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DF09252025_Ta01_70cm_DET2.Spe,180TAg,93.324,3789.486257394104,3580.654866492001,0.0451,0.002255,0.0003634913325206,3.519084938426557e-05,248080248.13808805,235996881.05674756,159639.799316659,151864.14482416186,45.650776861945715,09/25/2025 06:02:37,1448.0,1554.0
650,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BW09242025_Ta01_40cm_LEPS.Spe,180TAg,93.324,5039.646961912937,6762.34379219648,0.0451,0.002255,5.6420366121561e-06,2.080004899098238e-05,23469045679.138897,92082365258.15204,38161049.88477869,149727423.18398705,5.471767667137415,09/24/2025 17:03:53,519.0,615.0
