,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
55,CA09242025_Ta04_20cm_LEPS.Spe,173HFg,123.675,2.060496630017891,38.702512050861856,0.8300000000000001,0.04,3.063417721728317e-05,2.133442757335863e-05,90893.73890083296,1709617.8599161387,136.88816099523038,2574.725692644787,0.929386872269746,09/24/2025 17:53:54,592.0,664.0
75,CA09242025_Ta04_20cm_LEPS.Spe,173HFg,296.974,40.05621249667842,23.39295293522694,0.3389999999999999,0.0139999999999999,4.9298882752197655e-05,4.640885350862186e-05,2688310.817893907,3010333.751582174,4048.660870322149,4533.635168045443,1.2222811451769215,09/24/2025 17:53:54,592.0,664.0
92,CO09242025_Ta04_10cm_LEPS.Spe,173HFg,52.965,2.7961743196529074e-19,4175.682990610195,0.31,0.008,3.986412232341696e-05,0.0004762012176748,2.5105353147059905e-14,374912234.0929485,2.2740356111467306e-17,339594.4149392649,1027.8350410298513,09/24/2025 21:37:32,995.0,1104.0
93,CO09242025_Ta04_10cm_LEPS.Spe,173HFg,54.07,34134.426090749635,2302944.330329019,0.536,0.013,4.02618254341828e-05,0.0004718422066141,1755013036.457438,120178391340.27988,1589685.7214288388,108857238.53286222,1027.8350410298513,09/24/2025 21:37:32,995.0,1104.0
125,CO09242025_Ta04_10cm_LEPS.Spe,173HFg,123.675,3.1148628452986665e-35,44.87814979468685,0.8300000000000001,0.04,8.655574018049563e-05,7.002982150590454e-05,4.810729679690708e-31,693117.6681270675,4.357544999719844e-34,627.8239747527786,1.067705432792898,09/24/2025 21:37:32,995.0,1104.0
127,CO09242025_Ta04_10cm_LEPS.Spe,173HFg,139.635,86.42876389140086,47.5798803387278,0.127,0.006,9.883929279113227e-05,6.769751304922969e-05,7639605.700852838,6772955.982272914,6919.932700047861,6134.9238969863345,1.186288681188179,09/24/2025 21:37:32,995.0,1104.0
132,CO09242025_Ta04_10cm_LEPS.Spe,173HFg,162.01,124.82511718142624,53.85254317346222,0.065,0.003,0.0001139071528863,0.000130854457602,18706115.934881393,23031836.32146979,16943.945593189666,20862.17058104148,0.77135250892281,09/24/2025 21:37:32,995.0,1104.0
151,CO09242025_Ta04_10cm_LEPS.Spe,173HFg,296.974,102.57474310653548,51.27595185960931,0.3389999999999999,0.0139999999999999,0.000151344964986,9.541312562650504e-05,2218292.2156199845,1800497.983213432,2009.322659076073,1630.885854359993,1.2006374810922589,09/24/2025 21:37:32,995.0,1104.0
153,CO09242025_Ta04_10cm_LEPS.Spe,173HFg,306.568,1.3549763324514792e-24,27.412666265309394,0.064,0.003,0.0001520557982671,9.039719763650916e-05,1.544879970448974e-19,3125462.6398719964,1.3993477993197228e-22,2831.0349998840547,1.4318280618882857,09/24/2025 21:37:32,995.0,1104.0
155,CO09242025_Ta04_10cm_LEPS.Spe,173HFg,311.239,1861.714365483892,108.85491854253316,0.107,0.004,0.0001523551977276,8.848037720689425e-05,126712071.16720212,74169837.70471135,114775.42678188598,67182.82400789071,1.4318280618882857,09/24/2025 21:37:32,995.0,1104.0
170,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,52.965,5.776995827602978e-09,5564.861640404941,0.31,0.008,3.986412232341696e-05,0.0004762012176748,0.0004712155747571,453912302.27279055,6.449706744554824e-08,62128.702747439165,759.4550661926945,09/27/2025 12:48:24,7248.0,7306.0
171,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,54.07,3442.784378779509,161226.70548810056,0.536,0.013,4.02618254341828e-05,0.0004718422066141,160810001.40911782,7763015327.910389,22010.676349454945,1062553.4256652598,759.4550661926945,09/27/2025 12:48:24,7248.0,7306.0
182,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,61.29,5.152525044555842e-05,661.3663830976118,0.115,0.003,4.320602331052898e-05,0.0004405019833193,10.452964095168648,134171867.13114144,0.0014307369415779,18364.61362320578,159.63279254389428,09/27/2025 12:48:24,7248.0,7306.0
208,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,123.675,4.105963619837991,13.289093787434563,0.8300000000000001,0.04,8.655574018049563e-05,7.002982150590454e-05,57610.62851818967,194307.80633132317,7.885385781301625,26.595648279677413,1.4040267015247418,09/27/2025 12:48:24,7248.0,7306.0
211,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,134.965,33.23336487136628,20.64539060082091,0.0474,0.0021,9.534822716115838e-05,5.6648393467037296e-05,7412160.841145386,6508169.3356350055,1014.5306379886924,890.7978833335623,1.0190178018473015,09/27/2025 12:48:24,7248.0,7306.0
212,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,139.635,38.115079784406674,13.397628822802403,0.127,0.006,9.883929279113227e-05,6.769751304922969e-05,3060729.6181351,2412247.7483940893,418.93370081235975,330.1735215431275,1.208627861510625,09/27/2025 12:48:24,7248.0,7306.0
219,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,162.01,11.69821162325968,139.54849678204755,0.065,0.003,0.0001139071528863,0.000130854457602,1592636.275221611,19092343.744665872,217.99018275685887,2613.2416841864047,1.601705285137459,09/27/2025 12:48:24,7248.0,7306.0
241,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,296.974,52.278736501120825,14.274788204541704,0.3389999999999999,0.0139999999999999,0.000151344964986,9.541312562650504e-05,1027114.5715989828,721059.9332700646,140.58507686818817,98.69421479196068,1.5353686492548908,09/27/2025 12:48:24,7248.0,7306.0
242,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,306.568,30.2019442826016,12.62865503043692,0.064,0.003,0.0001520557982671,9.039719763650916e-05,3128336.239759654,2348502.7001550896,428.187276178436,321.4484944094018,1.3268191410571133,09/27/2025 12:48:24,7248.0,7306.0
243,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,311.239,22.932270309084164,10.96784202322457,0.107,0.004,0.0001523551977276,8.848037720689425e-05,1417971.4369048665,1108395.4569761725,194.08314219885935,151.71030070848238,1.3678257500635518,09/27/2025 12:48:24,7248.0,7306.0
249,EU09272025_Ta04_10cm_LEPS.Spe,173HFg,356.998,14.23410637255032,8.737263150030735,0.0047,0.0003,0.0001539488854696,8.857543554895655e-05,19829752.018741257,17537226.328044955,2714.1735585465717,2400.3868502662135,1.2244587975056418,09/27/2025 12:48:24,7248.0,7306.0
272,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,61.05,1198.1640613392235,1007450.2608934266,0.0591,0.0014,0.0020142913564301,0.0002007163375914,10488311.17908574,8818869017.4211,4111.450873808601,3457024.3110235594,12872.89794369467,09/25/2025 08:05:04,2448.0,2551.0
274,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,61.29,22082.727591929615,89037199.24234761,0.115,0.003,0.0020133826042182,0.000200182235883,99386548.33450392,400724949946.4217,38959.83862583455,157085437.0624938,12872.89794369467,09/25/2025 08:05:04,2448.0,2551.0
275,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,62.929,22372.265439086575,794367.57570625,0.0388,0.001,0.0020071850532464,0.0001964744128572,299357310.7242885,10629263823.872408,117349.00459595789,4166704.752596005,12872.89794369467,09/25/2025 08:05:04,2448.0,2551.0
296,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,123.675,61.50470861367989,45.33505311852093,0.8300000000000001,0.04,0.0017973140556816,4.1604630377286595e-05,42964.06326380946,32221.102290657887,16.842047535793593,12.630773144123046,1.0125041735412148,09/25/2025 08:05:04,2448.0,2551.0
298,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,134.965,18.905206594335997,39.1217034669482,0.0474,0.0021,0.0017687129732474,5.210883639413016e-05,234987.50482259455,489427.8434236501,92.1158388171676,191.85724948006668,1.2068678711569998,09/25/2025 08:05:04,2448.0,2551.0
299,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,139.635,95.54923025230504,55.4304112483914,0.127,0.006,0.0017571949022925,5.977563608243042e-05,446172.2774047674,264109.48746612575,174.90093195012443,103.53174734070002,1.2068678711569998,09/25/2025 08:05:04,2448.0,2551.0
302,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,162.01,76.58154896846528,74.90578100298694,0.065,0.003,0.001697116832447,8.207235586937915e-05,723432.6306907466,714054.5333155317,283.5878599336521,279.91161635261926,4.416868964862456,09/25/2025 08:05:04,2448.0,2551.0
315,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,296.974,0.3684091367417665,29.73532840981644,0.3389999999999999,0.0139999999999999,0.0011917972801305,1.788211670627364e-05,950.2269626889116,76711.45480615056,0.3724919493096478,30.071130853057845,1.5681072307021384,09/25/2025 08:05:04,2448.0,2551.0
316,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,306.568,150.33043060298243,34.98860537930078,0.064,0.003,0.001163231695287,1.686466613855108e-05,2104261.6749997516,529126.8480334908,824.8771756173076,207.4193837841987,0.9125304407214212,09/25/2025 08:05:04,2448.0,2551.0
318,DJ09252025_Ta04_30cm_DET2.Spe,173HFg,311.239,184.81415622067823,285.9888752161614,0.107,0.004,0.0011498295067255,1.648140430480255e-05,1565370.1645360629,2425861.8327089073,613.630013538245,950.9454459854596,0.9125304407214212,09/25/2025 08:05:04,2448.0,2551.0
376,EA09262025_Ta04_10cm_DET2.Spe,173HFg,61.05,9.542080085046604e-05,598246.2626343557,0.0591,0.0014,0.0193179206896322,0.0005790870844808,0.0956734364685445,599830176.340557,2.6465680904161693e-05,165928.12623528548,235490.145757558,09/26/2025 00:33:11,3158.0,3615.0
378,EA09262025_Ta04_10cm_DET2.Spe,173HFg,61.29,557.0209411350255,1558025.7522449985,0.115,0.003,0.0193043832324782,0.0005778116462273,287219.5038740295,803372639.3972714,79.45214491674399,222233.09526895476,26713.705322866273,09/26/2025 00:33:11,3158.0,3615.0
379,EA09262025_Ta04_10cm_DET2.Spe,173HFg,62.929,2007.3256529102264,196805720.14125517,0.0388,0.001,0.0192113322515672,0.0005689780402311,3082654.1440147753,302234950208.3753,852.739735550422,83605795.35501392,26713.705322866273,09/26/2025 00:33:11,3158.0,3615.0
409,EA09262025_Ta04_10cm_DET2.Spe,173HFg,123.675,1.0905922466185992e-11,139.8698589182459,0.8300000000000001,0.04,0.0154053419594833,0.0002636129025363,9.763581288369202e-10,12521.9186325154,2.7008523619278573e-13,3.4638779066432637,8.073436068738872,09/26/2025 00:33:11,3158.0,3615.0
412,EA09262025_Ta04_10cm_DET2.Spe,173HFg,134.965,83.80655136058311,232.03500813680648,0.0474,0.0021,0.0147753800808557,0.0002778519160773,136979.99393099535,379608.5077593167,37.892114503733154,105.00926908971417,9.53387724886243,09/26/2025 00:33:11,3158.0,3615.0
413,EA09262025_Ta04_10cm_DET2.Spe,173HFg,139.635,74.34850622898442,208.51795617271247,0.127,0.006,0.0145286923737848,0.0002920400200252,46125.19063338075,129495.00524147664,12.75938883357697,35.82157821340986,9.53387724886243,09/26/2025 00:33:11,3158.0,3615.0
419,EA09262025_Ta04_10cm_DET2.Spe,173HFg,162.01,66.71243011293211,93467467.8157321,0.065,0.003,0.0134638974150214,0.000374887497969,87260.71881486602,122256653124.45482,24.138511428731956,33819267.807594694,1.7367403446362386,09/26/2025 00:33:11,3158.0,3615.0
443,EA09262025_Ta04_10cm_DET2.Spe,173HFg,296.974,88.06866053373932,44.433972719968544,0.3389999999999999,0.0139999999999999,0.0089270012424144,0.0001352064576872,33312.88714923569,17240.76715071978,9.215183167146805,4.769230193836731,1.0896339634126058,09/26/2025 00:33:11,3158.0,3615.0
444,EA09262025_Ta04_10cm_DET2.Spe,173HFg,306.568,63.74129934267779,31.080326411688223,0.064,0.003,0.0086969107236896,0.0001279120409143,131090.76630779885,66308.71243495686,36.26300589427353,18.34265904148184,0.9584537648797956,09/26/2025 00:33:11,3158.0,3615.0
445,EA09262025_Ta04_10cm_DET2.Spe,173HFg,311.239,87.0860906581558,37.81643208264799,0.107,0.004,0.0085889476238785,0.0001250511353988,108472.89702249298,48711.26697405234,30.0063338928058,13.474762648423884,0.9584537648797956,09/26/2025 00:33:11,3158.0,3615.0
558,DC09252025_Ta04_9cm_LEPS.Spe,173HFg,52.965,1.7768574947897244e-19,19111.10092590744,0.31,0.008,4.8978449993532384e-05,0.000582626950842,1.2113315352698451e-14,1302855141.3469431,7.332515346669765e-18,788653.2332608615,630.4125858623709,09/25/2025 04:02:04,1596.0,1652.0
559,DC09252025_Ta04_9cm_LEPS.Spe,173HFg,54.07,3814.167277322532,365919.6642441196,0.536,0.013,4.947542337137232e-05,0.00057726652159,148875277.13670754,14387884711.306082,90118.20649921765,8709373.31192862,630.4125858623709,09/25/2025 04:02:04,1596.0,1652.0
