,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
#2,AX09242025_Ta10_15cm_IDM.Spe,180HFm,55.79,1757.104909730295,29450592933.15092,0.165,0.005,0.0110050729716054,0.0011367381427766,1012969.6608101436,16978244707500.482,573.5955044225047,9613955100.5099,1639.93998749994,09/24/2025 03:57:42,1687.0,1766.0
#5,AX09242025_Ta10_15cm_IDM.Spe,180HFm,57.538,3272.998252642266,3018277.0069443756,0.48,0.01,0.0109718645531748,0.0011167208210101,650578.5123778555,599947212.4223579,368.39100361146967,339720.95833655604,1639.93998749994,09/24/2025 03:57:42,1687.0,1766.0
#18,AX09242025_Ta10_15cm_IDM.Spe,180HFm,215.426,12.04293137190247,22.596236488347554,0.816,0.02,0.0077266066607586,0.0002074367218603,1999.534331452535,3796.4231828931615,1.1322391457828624,2.149730001638257,1.104463366782199,09/24/2025 03:57:42,1687.0,1766.0
20,AX09242025_Ta10_15cm_IDM.Spe,180HFm,332.274,94.48360048041611,19.92095499348884,0.94,0.03,0.0050782159459696,7.604571528134682e-05,20720.15656764572,4915.5402811053555,11.73281798847436,2.7834316427550143,0.8474138391874495,09/24/2025 03:57:42,1687.0,1766.0
#21,AX09242025_Ta10_15cm_IDM.Spe,180HFm,443.162,4.585432434219782,10.289386030046678,0.8170000000000001,0.025,0.0038140681694715,5.74360975090772e-05,1540.4422006478685,3531.096624657334,0.8722775768107975,1.9994884624333713,1.0896283554319508,09/24/2025 03:57:42,1687.0,1766.0
22,AX09242025_Ta10_15cm_IDM.Spe,180HFm,500.697,6.815225478732143,13.112237508500408,0.142,0.004,0.0033894479687383,4.999798277638599e-05,14823.082633565207,29082.618630100977,8.393591525235111,16.4680739694796,1.1942865424943687,09/24/2025 03:57:42,1687.0,1766.0
#56,DV09252025_Ta10_10cm_DET2.Spe,180HFm,57.538,3518.5797790868146,17835.29480992967,0.48,0.01,0.0195120845201301,0.0005971623879931,377244.837789705,1912274.2682327544,104.06754145922898,527.5239360642081,218.87885367602485,09/25/2025 18:44:59,3610.0,3625.0
#64,DV09252025_Ta10_10cm_DET2.Spe,180HFm,93.324,590.5905687334673,652.518301795835,0.165,0.005,0.0173282505532253,0.000381571420703,207419.0559319496,229458.92210938735,57.21904991226196,63.29901299569306,2.0197631964244205,09/25/2025 18:44:59,3610.0,3625.0
#66,DV09252025_Ta10_10cm_DET2.Spe,180HFm,215.426,5.392177768663638,5.057014943056199,0.816,0.02,0.0114065652565908,0.0003158409185676,581.7279925096177,600.7226229806046,0.16047668758886,0.1657165856498219,1.2476225204630529,09/25/2025 18:44:59,3610.0,3625.0
67,DV09252025_Ta10_10cm_DET2.Spe,180HFm,332.274,10.983505119162285,6.849526512679773,0.94,0.03,0.0081335614817574,0.0001161736091105,1442.5575839547762,1000.6498050067754,0.3979469197116624,0.2760413255191105,1.485533089258498,09/25/2025 18:44:59,3610.0,3625.0
#68,DV09252025_Ta10_10cm_DET2.Spe,180HFm,443.162,4.9132848944112116e-11,1.2751465504896804,0.8170000000000001,0.025,0.0063893928317249,9.677559624471146e-05,9.45129044386297e-09,245.28967211037877,2.607252536238061e-12,0.0676661164442424,1.9373668734147165,09/25/2025 18:44:59,3610.0,3625.0
69,DV09252025_Ta10_10cm_DET2.Spe,180HFm,500.697,5.109759059380119,2.9356979080957655,0.142,0.004,0.0057722470538252,8.614393654574426e-05,6259.908369387231,4543.512855102548,1.726871274313719,1.2533828565800134,1.5788438341863882,09/25/2025 18:44:59,3610.0,3625.0
#101,BK09242025_Ta10_10cm_DET2.Spe,180HFm,57.538,11833.410885501637,1326539.785458504,0.48,0.01,0.0195120845201301,0.0005971623879931,1317464.7606061022,147689414.23408893,674.9307175236179,75660.56057074228,167.2256432782234,09/24/2025 11:52:44,1872.0,1952.0
#113,BK09242025_Ta10_10cm_DET2.Spe,180HFm,93.324,43156.36233859523,134963.09789630515,0.165,0.005,0.0173282505532253,0.000381571420703,15739108.765105093,49224579.051146254,8063.068014910395,25217.50975980853,2.3400251610732803,09/24/2025 11:52:44,1872.0,1952.0
#115,BK09242025_Ta10_10cm_DET2.Spe,180HFm,215.426,32.321236146315904,14.134519299321749,0.816,0.02,0.0114065652565908,0.0003158409185676,3620.90293626104,1712.0022502517536,1.8549707665271724,0.8770503331207754,1.474979737822509,09/24/2025 11:52:44,1872.0,1952.0
117,BK09242025_Ta10_10cm_DET2.Spe,180HFm,332.274,19.627919883287827,6.143218685786846,0.94,0.03,0.0081335614817574,0.0001161736091105,2676.946169564838,1037.2231747604435,1.3713863573590357,0.5313643313321945,1.0522800522215985,09/24/2025 11:52:44,1872.0,1952.0
#118,BK09242025_Ta10_10cm_DET2.Spe,180HFm,443.162,14.168370057154249,4.304312041133813,0.8170000000000001,0.025,0.0063893928317249,9.677559624471146e-05,2830.1679835963273,1146.2644360252796,1.4498811391374629,0.5872256332096719,1.3016923814020205,09/24/2025 11:52:44,1872.0,1952.0
119,BK09242025_Ta10_10cm_DET2.Spe,180HFm,500.697,11.754572658689169,3.935731693371028,0.142,0.004,0.0057722470538252,8.614393654574426e-05,14953.661952990016,6657.279999299773,7.660687475917016,3.410491802919966,1.41662632655997,09/24/2025 11:52:44,1872.0,1952.0
#201,AX09242025_Ta10_18cm_DET2.Spe,180HFm,54.611,6616.6015698135425,129385559300.15147,0.096,0.003,0.0071168988899572,0.0002413804412923,10000333.156819347,195553364522655.25,6075.536547277854,118805203233.69092,323.6231702146004,09/24/2025 04:31:39,1594.0,1646.0
#204,AX09242025_Ta10_18cm_DET2.Spe,180HFm,55.79,6335.798583660183,17688790942.948147,0.165,0.005,0.0070958281521348,0.0002392580897322,5587992.865468701,15601006926400.604,3394.892384853403,9478133005.103647,323.6231702146004,09/24/2025 04:31:39,1594.0,1646.0
#218,AX09242025_Ta10_18cm_DET2.Spe,180HFm,93.324,39310.55157206222,113510.78146070386,0.165,0.005,0.0063120813812384,0.0001526602668499,38975717.386027224,112554250.71032736,23679.050659797827,68380.46823227666,1.9320019779014583,09/24/2025 04:31:39,1594.0,1646.0
#221,AX09242025_Ta10_18cm_DET2.Spe,180HFm,215.426,1.438490127756943e-07,6.469741689261355,0.816,0.02,0.0042728132991805,0.0001011785370609,4.2603406311646416e-05,1916.1273968728733,2.588299289893464e-08,1.1641114197283555,0.7686420042554583,09/24/2025 04:31:39,1594.0,1646.0
224,AX09242025_Ta10_18cm_DET2.Spe,180HFm,332.274,58.850040228331906,20.462934936501014,0.94,0.03,0.0030684799033316,3.716292879971653e-05,21068.67097980544,7856.723013989159,12.79992161592068,4.773221758195115,1.4405844977843807,09/24/2025 04:31:39,1594.0,1646.0
#225,AX09242025_Ta10_18cm_DET2.Spe,180HFm,443.162,18.05039848019083,9.11197465178102,0.8170000000000001,0.025,0.0024237206412293,3.3147576432555544e-05,9412.905304716844,5252.319620349764,5.718654498612907,3.1909596721444493,1.1812266299476004,09/24/2025 04:31:39,1594.0,1646.0
226,AX09242025_Ta10_18cm_DET2.Spe,180HFm,500.697,4.242430876935264,4.272233618618422,0.142,0.004,0.0021949424844115,3.057417453993519e-05,14055.45146393664,15719.504245680751,8.539156417944495,9.550124086075792,1.7167301027562163,09/24/2025 04:31:39,1594.0,1646.0
