filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,54.611,3005506.0228152755,373539.5039057609,0.222,0.016,0.007116898889957254,0.0002413804412923362,2015532476.5142562,297533989.39610124,185969.04193709692,27452.85010113501,12403.684146725218,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,55.79,5654886.814396839,408057.814245799,0.38,0.03,0.007095828152134862,0.00023925808973228533,2222046786.4753423,249195113.9659988,205023.69316067008,22992.72134766551,12403.684146725218,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,62.985,545791.1857300218,3885052.789499921,0.043,0.003,0.006958121623471249,0.00022512580545004852,1932778182.4009883,13758711807.717045,178333.47318702604,1269488.0796933977,321.03535284797607,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,63.243,1200603.2322996848,3867273.7730922173,0.083,0.006,0.006953020372896558,0.0002245870603706062,2204265391.755519,7102323877.768637,203383.04039080263,655316.8368489238,321.03535284797607,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,64.942,594014.7595673493,15996.245079028324,0.028300000000000002,0.0021,0.006919341071394609,0.00022099329899465223,3214119576.8957295,273734654.1274206,296560.2119298514,25256.934316979205,321.03535284797607,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,93.13,140242.04314352118,1165.7909833455947,0.066,0.019,0.006316398309119464,0.00015313886478103954,356435337.574544,103020437.96276292,32887.55652099502,9505.484218745425,8.268327889802915,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,213.39,1373.5237472695042,68.23893054583883,0.00086,0.00014000000000000001,0.004298981000132243,0.00010347338275455658,393629975.8720337,68492139.07107721,36319.42940321404,6319.628997146818,1.2223708088326988,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,970.03,301.5135470963608,26.52111413897666,0.00055,5e-05,0.001267611481198915,1.496304113778073e-05,458219898.0718388,63916916.17754471,42279.00886435124,5897.48257773987,1.007902663306186,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,1106.09,2028.7893336555098,51.1083545970292,0.0054,0.0005,0.0011257930990336538,1.5445269691795262e-05,353590492.497068,35162491.54330033,32625.06850867946,3244.370875004644,1.084988623026344,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,1183.38,563.3209034846791,35.055838837574576,0.00169,0.00015,0.0010596403558086067,1.6152693713219068e-05,333293344.0740392,39093597.79386647,30752.29231168474,3607.0859747062623,1.4227023736810143,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,1340.85,3259.333128441968,60.45348580299652,0.0103,0.0009,0.0009453813888180906,1.7766945482132638e-05,354650393.3954921,32963512.58997964,32722.863387663045,3041.475603430489,1.1864630102351523,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,1350.55,3640.36895725422,63.93722960322593,0.0118,0.001,0.0009390998815291057,1.7866423923105242e-05,348070788.7023755,31378474.630341675,32115.776776377144,2895.2274063795603,1.1864630102351523,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,1402.87,1447.9357310869964,37.484724986265505,0.0048,0.00024,0.0009065621051625839,1.841781145605728e-05,352554656.20843273,23047453.466958772,32529.494021815164,2126.5411945892943,0.9854727030006319,09/27/2025 14:49:00,10229.0,10838.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/EX09272025_Ta03_18cm_DET2.Spe,178TAg,1496.01,824.3563776364585,41.53607113089357,0.00269,0.00023,0.0008539305629295993,1.9666296571266017e-05,380238539.05796075,40940208.44791047,35083.829032843765,3777.4689470299386,1.5177650963027378,09/27/2025 14:49:00,10229.0,10838.0
